Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
1,V. Bottas  Mercedes,77,Mercedes,Mercedes,25.0,1'26.225,,,214.935,FP3,,,
2,L. Hamilton  Mercedes,44,Mercedes,Mercedes,27.0,+0.136 1'26.361,0.136,,214.596,FP3,,,
3,C. Leclerc  Ferrari,16,Ferrari,Ferrari,25.0,+0.456 1'26.681,0.32,,213.804,FP3,,,
4,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,24.0,+0.671 1'26.896,0.215,,213.275,FP3,,,
5,S. Vettel  Ferrari,5,Ferrari,Ferrari,25.0,+0.813 1'27.038,0.142,,212.927,FP3,,,
6,L. Norris  McLaren F1,4,McLaren,Renault,29.0,+0.942 1'27.167,0.129,,212.612,FP3,,,
7,S. PÃ©rez  Racing Point,11,Racing Point,Mercedes,25.0,+1.020 1'27.245,0.078,,212.422,FP3,,,
8,D. Ricciardo  Renault F1 Team,3,Renault,Renault,23.0,+1.167 1'27.392,0.147,,212.065,FP3,,,
9,A. Albon  Red Bull Racing,23,Red Bull,Honda,23.0,+1.224 1'27.449,0.057,,211.926,FP3,,,
10,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,28.0,+1.303 1'27.528,0.079,,211.735,FP3,,,
11,E. Ocon  Renault F1 Team,31,Renault,Renault,27.0,+1.409 1'27.634,0.106,,211.479,FP3,,,
12,D. Kvyat  Racing Bulls,26,AlphaTauri,Honda,26.0,+1.570 1'27.795,0.161,,211.091,FP3,,,
13,C. Sainz  McLaren F1,55,McLaren,Renault,29.0,+1.699 1'27.924,0.129,,210.782,FP3,,,
14,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,25.0,+1.731 1'27.956,0.032,,210.705,FP3,,,
15,R. Grosjean  Haas F1 Team,8,Haas,Ferrari,27.0,+1.890 1'28.115,0.159,,210.325,FP3,,,
16,K. Magnussen  Haas F1 Team,20,Haas,Ferrari,27.0,+2.068 1'28.293,0.178,,209.901,FP3,,,
17,G. Russell  Williams,63,Williams,Mercedes,30.0,+2.118 1'28.343,0.05,,209.782,FP3,,,
18,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,25.0,+2.145 1'28.370,0.027,,209.718,FP3,,,
19,N. Latifi  Williams,6,Williams,Mercedes,26.0,+2.716 1'28.941,0.571,,208.371,FP3,,,
1,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,3.0,1'26.319,,,214.701,Q1,,,
2,V. Bottas  Mercedes,77,Mercedes,Mercedes,7.0,+0.254 1'26.573,0.254,,214.071,Q1,,,
3,L. Hamilton  Mercedes,44,Mercedes,Mercedes,6.0,+0.301 1'26.620,0.047,,213.955,Q1,,,
4,L. Norris  McLaren F1,4,McLaren,Renault,6.0,+0.510 1'26.829,0.209,,213.44,Q1,,,
5,D. Ricciardo  Renault F1 Team,3,Renault,Renault,6.0,+0.517 1'26.836,0.007,,213.423,Q1,,,
6,C. Leclerc  Ferrari,16,Ferrari,Ferrari,4.0,+0.538 1'26.857,0.021,,213.371,Q1,,,
7,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,10.0,+0.753 1'27.072,0.215,,212.844,Q1,,,
8,E. Ocon  Renault F1 Team,31,Renault,Renault,8.0,+0.767 1'27.086,0.014,,212.81,Q1,,,
9,S. Vettel  Ferrari,5,Ferrari,Ferrari,8.0,+0.788 1'27.107,0.021,,212.759,Q1,,,
10,S. PÃ©rez  Racing Point,11,Racing Point,Mercedes,8.0,+0.801 1'27.120,0.013,,212.727,Q1,,,
11,A. Albon  Red Bull Racing,23,Red Bull,Honda,6.0,+0.807 1'27.126,0.006,,212.712,Q1,,,
12,K. Magnussen  Haas F1 Team,20,Haas,Ferrari,10.0,+0.912 1'27.231,0.105,,212.456,Q1,,,
13,D. Kvyat  Racing Bulls,26,AlphaTauri,Honda,10.0,+0.966 1'27.285,0.054,,212.325,Q1,,,
14,C. Sainz  McLaren F1,55,McLaren,Renault,8.0,+1.059 1'27.378,0.093,,212.099,Q1,,,
15,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,8.0,+1.213 1'27.532,0.154,,211.725,Q1,,,
16,R. Grosjean  Haas F1 Team,8,Haas,Ferrari,10.0,+1.233 1'27.552,0.02,,211.677,Q1,,,
17,G. Russell  Williams,63,Williams,Mercedes,9.0,+1.245 1'27.564,0.012,,211.648,Q1,,,
18,N. Latifi  Williams,6,Williams,Mercedes,9.0,+1.493 1'27.812,0.248,,211.05,Q1,,,
19,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,8.0,+1.498 1'27.817,0.005,,211.038,Q1,,,
20,N. Hulkenberg  Racing Point,27,Racing Point,Mercedes,10.0,+1.702 1'28.021,0.204,,210.549,Q1,,,
1,L. Hamilton  Mercedes,44,Mercedes,Mercedes,6.0,1'25.390,,,217.037,Q2,,,
