Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
1,L. Hamilton  Mercedes,44,Mercedes,Mercedes,37.0,1'16.003,,,207.512,FP1,,,
2,V. Bottas  Mercedes,77,Mercedes,Mercedes,37.0,+0.086 1'16.089,0.086,,207.278,FP1,,,
3,S. PÃ©rez  Racing Point,11,Racing Point,Mercedes,20.0,+0.527 1'16.530,0.441,,206.083,FP1,,,
4,L. Stroll  Racing Point,18,Racing Point,Mercedes,35.0,+0.964 1'16.967,0.437,,204.913,FP1,,,
5,D. Ricciardo  Renault F1 Team,3,Renault,Renault,28.0,+1.197 1'17.200,0.233,,204.295,FP1,,,
6,S. Vettel  Ferrari,5,Ferrari,Ferrari,26.0,+1.235 1'17.238,0.038,,204.194,FP1,,,
7,C. Leclerc  Ferrari,16,Ferrari,Ferrari,29.0,+1.401 1'17.404,0.166,,203.756,FP1,,,
8,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,28.0,+1.432 1'17.435,0.031,,203.675,FP1,,,
9,L. Norris  McLaren F1,4,McLaren,Renault,26.0,+1.520 1'17.523,0.088,,203.444,FP1,,,
10,E. Ocon  Renault F1 Team,31,Renault,Renault,35.0,+1.612 1'17.615,0.092,,203.202,FP1,,,
11,C. Sainz  McLaren F1,55,McLaren,Renault,32.0,+1.672 1'17.675,0.06,,203.046,FP1,,,
12,K. Magnussen  Haas F1 Team,20,Haas,Ferrari,35.0,+1.710 1'17.713,0.038,,202.946,FP1,,,
13,A. Albon  Red Bull Racing,23,Red Bull,Honda,28.0,+1.724 1'17.727,0.014,,202.91,FP1,,,
14,R. Grosjean  Haas F1 Team,8,Haas,Ferrari,35.0,+1.887 1'17.890,0.163,,202.485,FP1,,,
15,N. Latifi  Williams,6,Williams,Mercedes,31.0,+1.966 1'17.969,0.079,,202.28,FP1,,,
16,D. Kvyat  Racing Bulls,26,AlphaTauri,Honda,35.0,+2.289 1'18.292,0.323,,201.445,FP1,,,
17,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,30.0,+2.422 1'18.425,0.133,,201.104,FP1,,,
18,G. Russell  Williams,63,Williams,Mercedes,29.0,+2.571 1'18.574,0.149,,200.722,FP1,,,
19,R. Kubica  Alfa Romeo,88,Alfa Romeo,Ferrari,26.0,+3.147 1'19.150,0.576,,199.262,FP1,,,
1,S. Vettel  Ferrari,5,Ferrari,Ferrari,12.0,1'40.464,,,156.987,FP2,,,
2,V. Bottas  Mercedes,77,Mercedes,Mercedes,5.0,+0.272 1'40.736,0.272,,156.563,FP2,,,
3,C. Sainz  McLaren F1,55,McLaren,Renault,6.0,+1.320 1'41.784,1.048,,154.951,FP2,,,
4,L. Stroll  Racing Point,18,Racing Point,Mercedes,6.0,+1.916 1'42.380,0.596,,154.049,FP2,,,
5,S. PÃ©rez  Racing Point,11,Racing Point,Mercedes,5.0,+2.006 1'42.470,0.09,,153.914,FP2,,,
6,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,7.0,+2.124 1'42.588,0.118,,153.737,FP2,,,
7,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,4.0,+2.356 1'42.820,0.232,,153.39,FP2,,,
8,R. Grosjean  Haas F1 Team,8,Haas,Ferrari,6.0,+2.871 1'43.335,0.515,,152.625,FP2,,,
9,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,16.0,+3.007 1'43.471,0.136,,152.425,FP2,,,
10,C. Leclerc  Ferrari,16,Ferrari,Ferrari,10.0,+3.261 1'43.725,0.254,,152.052,FP2,,,
11,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,9.0,+3.947 1'44.411,0.686,,151.053,FP2,,,
12,L. Norris  McLaren F1,4,McLaren,Renault,5.0,+5.536 1'46.000,1.589,,148.788,FP2,,,
13,D. Kvyat  Racing Bulls,26,AlphaTauri,Honda,7.0,+6.958 1'47.422,1.422,,146.819,FP2,,,
14,E. Ocon  Renault F1 Team,31,Renault,Renault,1.0,,,,,FP2,,,
15,D. Ricciardo  Renault F1 Team,3,Renault,Renault,1.0,,,,,FP2,,,
16,L. Hamilton  Mercedes,44,Mercedes,Mercedes,1.0,,,,,FP2,,,
17,N. Latifi  Williams,6,Williams,Mercedes,2.0,,,,,FP2,,,
18,G. Russell  Williams,63,Williams,Mercedes,2.0,,,,,FP2,,,
19,A. Albon  Red Bull Racing,23,Red Bull,Honda,3.0,,,,,FP2,,,
20,K. Magnussen  Haas F1 Team,20,Haas,Ferrari,1.0,,,,,FP2,,,
1,V. Bottas  Mercedes,77,Mercedes,Mercedes,18.0,1'15.437,,,209.069,FP3,,,
2,L. Hamilton  Mercedes,44,Mercedes,Mercedes,20.0,+0.042 1'15.479,0.042,,208.953,FP3,,,
3,S. PÃ©rez  Racing Point,11,Racing Point,Mercedes,16.0,+0.161 1'15.598,0.119,,208.624,FP3,,,
4,C. Leclerc  Ferrari,16,Ferrari,Ferrari,19.0,+0.344 1'15.781,0.183,,208.12,FP3,,,
5,L. Stroll  Racing Point,18,Racing Point,Mercedes,15.0,+0.596 1'16.033,0.252,,207.43,FP3,,,
6,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,18.0,+0.647 1'16.084,0.051,,207.291,FP3,,,
7,L. Norris  McLaren F1,4,McLaren,Renault,18.0,+0.756 1'16.193,0.109,,206.995,FP3,,,
8,S. Vettel  Ferrari,5,Ferrari,Ferrari,18.0,+0.914 1'16.351,0.158,,206.567,FP3,,,
9,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,20.0,+1.016 1'16.453,0.102,,206.291,FP3,,,
10,D. Ricciardo  Renault F1 Team,3,Renault,Renault,14.0,+1.071 1'16.508,0.055,,206.143,FP3,,,
11,C. Sainz  McLaren F1,55,McLaren,Renault,21.0,+1.108 1'16.545,0.037,,206.043,FP3,,,
12,A. Albon  Red Bull Racing,23,Red Bull,Honda,19.0,+1.145 1'16.582,0.037,,205.943,FP3,,,
13,E. Ocon  Renault F1 Team,31,Renault,Renault,20.0,+1.269 1'16.706,0.124,,205.611,FP3,,,
14,G. Russell  Williams,63,Williams,Mercedes,23.0,+1.410 1'16.847,0.141,,205.233,FP3,,,
15,R. Grosjean  Haas F1 Team,8,Haas,Ferrari,15.0,+1.429 1'16.866,0.019,,205.183,FP3,,,
16,K. Magnussen  Haas F1 Team,20,Haas,Ferrari,14.0,+1.649 1'17.086,0.22,,204.597,FP3,,,
17,D. Kvyat  Racing Bulls,26,AlphaTauri,Honda,15.0,+1.855 1'17.292,0.206,,204.052,FP3,,,
18,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,20.0,+2.059 1'17.496,0.204,,203.515,FP3,,,
19,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,25.0,+2.090 1'17.527,0.031,,203.433,FP3,,,
20,N. Latifi  Williams,6,Williams,Mercedes,17.0,+2.213 1'17.650,0.123,,203.111,FP3,,,
1,S. PÃ©rez  Racing Point,11,Racing Point,Mercedes,8.0,1'14.681,,,211.186,Q1,,,
2,L. Stroll  Racing Point,18,Racing Point,Mercedes,8.0,+0.214 1'14.895,0.214,,210.582,Q1,,,
3,L. Hamilton  Mercedes,44,Mercedes,Mercedes,10.0,+0.226 1'14.907,0.012,,210.549,Q1,,,
4,C. Sainz  McLaren F1,55,McLaren,Renault,10.0,+0.600 1'15.281,0.374,,209.503,Q1,,,
5,L. Norris  McLaren F1,4,McLaren,Renault,9.0,+0.763 1'15.444,0.163,,209.05,Q1,,,
6,S. Vettel  Ferrari,5,Ferrari,Ferrari,9.0,+0.774 1'15.455,0.011,,209.019,Q1,,,
7,V. Bottas  Mercedes,77,Mercedes,Mercedes,8.0,+0.793 1'15.474,0.019,,208.967,Q1,,,
8,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,9.0,+0.814 1'15.495,0.021,,208.909,Q1,,,
9,G. Russell  Williams,63,Williams,Mercedes,9.0,+0.904 1'15.585,0.09,,208.66,Q1,,,
10,E. Ocon  Renault F1 Team,31,Renault,Renault,8.0,+1.038 1'15.719,0.134,,208.291,Q1,,,
11,A. Albon  Red Bull Racing,23,Red Bull,Honda,10.0,+1.041 1'15.722,0.003,,208.282,Q1,,,
12,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,9.0,+1.086 1'15.767,0.045,,208.159,Q1,,,
13,C. Leclerc  Ferrari,16,Ferrari,Ferrari,8.0,+1.112 1'15.793,0.026,,208.087,Q1,,,
14,D. Ricciardo  Renault F1 Team,3,Renault,Renault,8.0,+1.167 1'15.848,0.055,,207.936,Q1,,,
15,N. Latifi  Williams,6,Williams,Mercedes,9.0,+1.424 1'16.105,0.257,,207.234,Q1,,,
16,K. Magnussen  Haas F1 Team,20,Haas,Ferrari,9.0,+1.471 1'16.152,0.047,,207.106,Q1,,,
17,D. Kvyat  Racing Bulls,26,AlphaTauri,Honda,9.0,+1.523 1'16.204,0.052,,206.965,Q1,,,
18,R. Grosjean  Haas F1 Team,8,Haas,Ferrari,8.0,+1.726 1'16.407,0.203,,206.415,Q1,,,
19,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,12.0,+1.825 1'16.506,0.099,,206.148,Q1,,,
20,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,12.0,+1.933 1'16.614,0.108,,205.857,Q1,,,
1,L. Hamilton  Mercedes,44,Mercedes,Mercedes,6.0,1'14.261,,,212.38,Q2,,,
2,V. Bottas  Mercedes,77,Mercedes,Mercedes,6.0,+0.269 1'14.530,0.269,,211.614,Q2,,,
3,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,6.0,+0.715 1'14.976,0.446,,210.355,Q2,,,
4,C. Leclerc  Ferrari,16,Ferrari,Ferrari,6.0,+0.745 1'15.006,0.03,,210.271,Q2,,,
5,L. Norris  McLaren F1,4,McLaren,Renault,6.0,+0.824 1'15.085,0.079,,210.049,Q2,,,
6,S. Vettel  Ferrari,5,Ferrari,Ferrari,5.0,+0.870 1'15.131,0.046,,209.921,Q2,,,
7,L. Stroll  Racing Point,18,Racing Point,Mercedes,8.0,+0.915 1'15.176,0.045,,209.795,Q2,,,
8,C. Sainz  McLaren F1,55,McLaren,Renault,6.0,+1.006 1'15.267,0.091,,209.542,Q2,,,
9,S. PÃ©rez  Racing Point,11,Racing Point,Mercedes,8.0,+1.133 1'15.394,0.127,,209.189,Q2,,,
10,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,5.0,+1.247 1'15.508,0.114,,208.873,Q2,,,
11,D. Ricciardo  Renault F1 Team,3,Renault,Renault,6.0,+1.400 1'15.661,0.153,,208.45,Q2,,,
12,G. Russell  Williams,63,Williams,Mercedes,5.0,+1.437 1'15.698,0.037,,208.348,Q2,,,
13,A. Albon  Red Bull Racing,23,Red Bull,Honda,6.0,+1.454 1'15.715,0.017,,208.302,Q2,,,
14,E. Ocon  Renault F1 Team,31,Renault,Renault,6.0,+1.481 1'15.742,0.027,,208.227,Q2,,,
15,N. Latifi  Williams,6,Williams,Mercedes,5.0,+2.283 1'16.544,0.802,,206.046,Q2,,,
1,L. Hamilton  Mercedes,44,Mercedes,Mercedes,6.0,1'13.447,,,214.734,Q3,,,
2,V. Bottas  Mercedes,77,Mercedes,Mercedes,6.0,+0.107 1'13.554,0.107,,214.422,Q3,,,
3,L. Stroll  Racing Point,18,Racing Point,Mercedes,6.0,+0.930 1'14.377,0.823,,212.049,Q3,,,
4,S. PÃ©rez  Racing Point,11,Racing Point,Mercedes,6.0,+1.098 1'14.545,0.168,,211.571,Q3,,,
5,S. Vettel  Ferrari,5,Ferrari,Ferrari,6.0,+1.327 1'14.774,0.229,,210.923,Q3,,,
6,C. Leclerc  Ferrari,16,Ferrari,Ferrari,6.0,+1.370 1'14.817,0.043,,210.802,Q3,,,
7,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,6.0,+1.402 1'14.849,0.032,,210.712,Q3,,,
8,L. Norris  McLaren F1,4,McLaren,Renault,5.0,+1.519 1'14.966,0.117,,210.383,Q3,,,
9,C. Sainz  McLaren F1,55,McLaren,Renault,5.0,+1.580 1'15.027,0.061,,210.212,Q3,,,
10,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,0.0,,,,,Q3,,,
1,L. Hamilton  Mercedes,44,Mercedes,Mercedes,,1'13.447,,,214.734,Quali,,,
2,V. Bottas  Mercedes,77,Mercedes,Mercedes,,+0.107 1'13.554,,,214.422,Quali,,,
3,L. Stroll  Racing Point,18,Racing Point,Mercedes,,+0.930 1'14.377,,,212.049,Quali,,,
4,S. PÃ©rez  Racing Point,11,Racing Point,Mercedes,,+1.098 1'14.545,,,211.571,Quali,,,
5,S. Vettel  Ferrari,5,Ferrari,Ferrari,,+1.327 1'14.774,,,210.923,Quali,,,
6,C. Leclerc  Ferrari,16,Ferrari,Ferrari,,+1.370 1'14.817,,,210.802,Quali,,,
7,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,,+1.402 1'14.849,,,210.712,Quali,,,
8,L. Norris  McLaren F1,4,McLaren,Renault,,+1.519 1'14.966,,,210.383,Quali,,,
9,C. Sainz  McLaren F1,55,McLaren,Renault,,+1.580 1'15.027,,,210.212,Quali,,,
10,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,,,,,,Quali,,,
11,D. Ricciardo  Renault F1 Team,3,Renault,Renault,,+2.214 1'15.661,,,208.45,Quali,,,
12,G. Russell  Williams,63,Williams,Mercedes,,+2.251 1'15.698,,,208.348,Quali,,,
13,A. Albon  Red Bull Racing,23,Red Bull,Honda,,+2.268 1'15.715,,,208.302,Quali,,,
14,E. Ocon  Renault F1 Team,31,Renault,Renault,,+2.295 1'15.742,,,208.227,Quali,,,
15,N. Latifi  Williams,6,Williams,Mercedes,,+3.097 1'16.544,,,206.046,Quali,,,
16,K. Magnussen  Haas F1 Team,20,Haas,Ferrari,,+2.705 1'16.152,,,207.106,Quali,,,
17,D. Kvyat  Racing Bulls,26,AlphaTauri,Honda,,+2.757 1'16.204,,,206.965,Quali,,,
18,R. Grosjean  Haas F1 Team,8,Haas,Ferrari,,+2.960 1'16.407,,,206.415,Quali,,,
19,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,,+3.059 1'16.506,,,206.148,Quali,,,
20,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,,+3.167 1'16.614,,,205.857,Quali,,,
1,L. Hamilton  Mercedes,44,Mercedes,Mercedes,70.0,1:36'12.473,,,191.229,Race,3.0,26.0,
2,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,70.0,+8.702 1:36'21.175,8.702,,190.941,Race,2.0,18.0,
3,V. Bottas  Mercedes,77,Mercedes,Mercedes,70.0,+9.452 1:36'21.925,0.750,,190.917,Race,3.0,15.0,
4,L. Stroll  Racing Point,18,Racing Point,Mercedes,70.0,+57.579 1:37'10.052,48.127,,189.341,Race,3.0,12.0,
5,A. Albon  Red Bull Racing,23,Red Bull,Honda,70.0,+1'18.316 1:37'30.789,20.737,,188.669,Race,2.0,10.0,
6,S. Vettel  Ferrari,5,Ferrari,Ferrari,69.0,+1 Lap 1:36'17.961,1 Lap,,188.318,Race,2.0,8.0,
7,S. PÃ©rez  Racing Point,11,Racing Point,Mercedes,69.0,+1 Lap 1:36'19.099,1.138,,188.281,Race,2.0,6.0,
8,D. Ricciardo  Renault F1 Team,3,Renault,Renault,69.0,+1 Lap 1:36'20.049,0.950,,188.25,Race,2.0,4.0,
9,C. Sainz  McLaren F1,55,McLaren,Renault,69.0,+1 Lap 1:36'34.468,14.419,,187.781,Race,2.0,2.0,
10,K. Magnussen  Haas F1 Team,20,Haas,Ferrari,69.0,+1 Lap 1:36'42.396,7.928,,187.849,Race,1.0,1.0,
11,C. Leclerc  Ferrari,16,Ferrari,Ferrari,69.0,+1 Lap 1:36'52.962,10.566,,187.184,Race,2.0,,
12,D. Kvyat  Racing Bulls,26,AlphaTauri,Honda,69.0,+1 Lap 1:36'57.822,4.860,,187.028,Race,2.0,,
13,L. Norris  McLaren F1,4,McLaren,Renault,69.0,+1 Lap 1:36'58.561,0.739,,187.004,Race,2.0,,
14,E. Ocon  Renault F1 Team,31,Renault,Renault,69.0,+1 Lap 1:36'59.437,0.876,,186.976,Race,2.0,,
