Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
1,V. Bottas  Mercedes,77,Mercedes,Mercedes,35.0,1'18.410,,,213.63,FP1,,,
2,L. Hamilton  Mercedes,44,Mercedes,Mercedes,35.0,+0.339 1'18.749,0.339,,212.711,FP1,,,
3,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,32.0,+0.781 1'19.191,0.442,,211.524,FP1,,,
4,C. Leclerc  Ferrari,16,Ferrari,Ferrari,33.0,+0.899 1'19.309,0.118,,211.209,FP1,,,
5,A. Albon  Red Bull Racing,23,Red Bull,Honda,34.0,+0.955 1'19.365,0.056,,211.06,FP1,,,
6,C. Sainz  McLaren F1,55,McLaren,Renault,42.0,+1.031 1'19.441,0.076,,210.858,FP1,,,
7,S. PÃ©rez  Racing Point,11,Racing Point,Mercedes,31.0,+1.497 1'19.907,0.466,,209.628,FP1,,,
8,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,34.0,+1.544 1'19.954,0.047,,209.505,FP1,,,
9,D. Ricciardo  Renault F1 Team,3,Renault,Renault,27.0,+1.648 1'20.058,0.104,,209.233,FP1,,,
10,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,29.0,+1.714 1'20.124,0.066,,209.06,FP1,,,
11,S. Vettel  Ferrari,5,Ferrari,Ferrari,37.0,+1.790 1'20.200,0.076,,208.862,FP1,,,
12,L. Norris  McLaren F1,4,McLaren,Renault,29.0,+1.797 1'20.207,0.007,,208.844,FP1,,,
13,D. Kvyat  Racing Bulls,26,AlphaTauri,Honda,32.0,+1.868 1'20.278,0.071,,208.659,FP1,,,
14,K. Magnussen  Haas F1 Team,20,Haas,Ferrari,28.0,+2.436 1'20.846,0.568,,207.193,FP1,,,
15,L. Stroll  Racing Point,18,Racing Point,Mercedes,32.0,+2.544 1'20.954,0.108,,206.917,FP1,,,
16,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,35.0,+2.599 1'21.009,0.055,,206.777,FP1,,,
17,R. Grosjean  Haas F1 Team,8,Haas,Ferrari,31.0,+2.759 1'21.169,0.16,,206.369,FP1,,,
18,G. Russell  Williams,63,Williams,Mercedes,31.0,+2.964 1'21.374,0.205,,205.849,FP1,,,
19,E. Ocon  Renault F1 Team,31,Renault,Renault,31.0,+3.263 1'21.673,0.299,,205.095,FP1,,,
20,N. Latifi  Williams,6,Williams,Mercedes,34.0,+3.644 1'22.054,0.381,,204.143,FP1,,,
1,V. Bottas  Mercedes,77,Mercedes,Mercedes,32.0,1'17.940,,,214.919,FP2,,,
2,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,34.0,+0.595 1'18.535,0.595,,213.29,FP2,,,
3,L. Norris  McLaren F1,4,McLaren,Renault,35.0,+0.803 1'18.743,0.208,,212.727,FP2,,,
4,C. Leclerc  Ferrari,16,Ferrari,Ferrari,34.0,+0.898 1'18.838,0.095,,212.471,FP2,,,
5,C. Sainz  McLaren F1,55,McLaren,Renault,32.0,+1.173 1'19.113,0.275,,211.732,FP2,,,
6,S. Vettel  Ferrari,5,Ferrari,Ferrari,34.0,+1.235 1'19.175,0.062,,211.566,FP2,,,
7,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,26.0,+1.238 1'19.178,0.003,,211.558,FP2,,,
8,L. Hamilton  Mercedes,44,Mercedes,Mercedes,27.0,+1.368 1'19.308,0.13,,211.211,FP2,,,
9,E. Ocon  Renault F1 Team,31,Renault,Renault,32.0,+1.556 1'19.496,0.188,,210.712,FP2,,,
10,A. Albon  Red Bull Racing,23,Red Bull,Honda,37.0,+1.703 1'19.643,0.147,,210.323,FP2,,,
11,G. Russell  Williams,63,Williams,Mercedes,33.0,+1.881 1'19.821,0.178,,209.854,FP2,,,
12,S. PÃ©rez  Racing Point,11,Racing Point,Mercedes,34.0,+1.961 1'19.901,0.08,,209.644,FP2,,,
13,D. Ricciardo  Renault F1 Team,3,Renault,Renault,28.0,+2.047 1'19.987,0.086,,209.419,FP2,,,
14,N. Latifi  Williams,6,Williams,Mercedes,33.0,+2.525 1'20.465,0.478,,208.174,FP2,,,
15,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,34.0,+2.550 1'20.490,0.025,,208.11,FP2,,,
16,K. Magnussen  Haas F1 Team,20,Haas,Ferrari,29.0,+2.740 1'20.680,0.19,,207.62,FP2,,,
17,D. Kvyat  Racing Bulls,26,AlphaTauri,Honda,33.0,+2.789 1'20.729,0.049,,207.494,FP2,,,
18,R. Grosjean  Haas F1 Team,8,Haas,Ferrari,32.0,+2.927 1'20.867,0.138,,207.14,FP2,,,
19,L. Stroll  Racing Point,18,Racing Point,Mercedes,26.0,+3.043 1'20.983,0.116,,206.843,FP2,,,
20,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,34.0,+3.456 1'21.396,0.413,,205.793,FP2,,,
1,V. Bottas  Mercedes,77,Mercedes,Mercedes,27.0,1'16.654,,,218.524,FP3,,,
2,L. Hamilton  Mercedes,44,Mercedes,Mercedes,23.0,+0.026 1'16.680,0.026,,218.45,FP3,,,
3,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,21.0,+0.158 1'16.812,0.132,,218.075,FP3,,,
4,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,24.0,+0.276 1'16.930,0.118,,217.74,FP3,,,
5,A. Albon  Red Bull Racing,23,Red Bull,Honda,25.0,+0.463 1'17.117,0.187,,217.212,FP3,,,
6,C. Leclerc  Ferrari,16,Ferrari,Ferrari,20.0,+0.575 1'17.229,0.112,,216.897,FP3,,,
7,C. Sainz  McLaren F1,55,McLaren,Renault,24.0,+0.584 1'17.238,0.009,,216.872,FP3,,,
8,S. PÃ©rez  Racing Point,11,Racing Point,Mercedes,17.0,+0.643 1'17.297,0.059,,216.706,FP3,,,
9,L. Norris  McLaren F1,4,McLaren,Renault,22.0,+0.824 1'17.478,0.181,,216.2,FP3,,,
10,E. Ocon  Renault F1 Team,31,Renault,Renault,20.0,+1.012 1'17.666,0.188,,215.677,FP3,,,
11,S. Vettel  Ferrari,5,Ferrari,Ferrari,24.0,+1.031 1'17.685,0.019,,215.624,FP3,,,
12,D. Kvyat  Racing Bulls,26,AlphaTauri,Honda,29.0,+1.066 1'17.720,0.035,,215.527,FP3,,,
13,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,20.0,+1.268 1'17.922,0.202,,214.968,FP3,,,
14,D. Ricciardo  Renault F1 Team,3,Renault,Renault,13.0,+1.281 1'17.935,0.013,,214.932,FP3,,,
15,G. Russell  Williams,63,Williams,Mercedes,20.0,+1.378 1'18.032,0.097,,214.665,FP3,,,
16,L. Stroll  Racing Point,18,Racing Point,Mercedes,17.0,+1.446 1'18.100,0.068,,214.478,FP3,,,
