Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
1,G. Russell  Mercedes,63,Mercedes,Mercedes,49.0,54.546,,,233.835,FP1,,,
2,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,29.0,+0.176 54.722,0.176,,233.083,FP1,,,
3,A. Albon  Red Bull Racing,23,Red Bull,Honda,18.0,+0.265 54.811,0.089,,232.705,FP1,,,
4,V. Bottas  Mercedes,77,Mercedes,Mercedes,44.0,+0.322 54.868,0.057,,232.463,FP1,,,
5,D. Kvyat  Racing Bulls,26,AlphaTauri,Honda,40.0,+0.465 55.011,0.143,,231.859,FP1,,,
6,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,37.0,+0.620 55.166,0.155,,231.207,FP1,,,
7,E. Ocon  Renault F1 Team,31,Renault,Renault,49.0,+0.727 55.273,0.107,,230.76,FP1,,,
8,S. Vettel  Ferrari,5,Ferrari,Ferrari,40.0,+0.735 55.281,0.008,,230.726,FP1,,,
9,D. Ricciardo  Renault F1 Team,3,Renault,Renault,39.0,+0.833 55.379,0.098,,230.318,FP1,,,
10,C. Leclerc  Ferrari,16,Ferrari,Ferrari,35.0,+0.903 55.449,0.07,,230.027,FP1,,,
11,L. Stroll  Racing Point,18,Racing Point,Mercedes,41.0,+1.012 55.558,0.109,,229.576,FP1,,,
12,S. PÃ©rez  Racing Point,11,Racing Point,Mercedes,33.0,+1.170 55.716,0.158,,228.925,FP1,,,
13,C. Sainz  McLaren F1,55,McLaren,Renault,41.0,+1.211 55.757,0.041,,228.756,FP1,,,
14,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,32.0,+1.237 55.783,0.026,,228.65,FP1,,,
15,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,35.0,+1.312 55.858,0.075,,228.343,FP1,,,
16,L. Norris  McLaren F1,4,McLaren,Renault,47.0,+1.532 56.078,0.22,,227.447,FP1,,,
17,K. Magnussen  Haas F1 Team,20,Haas,Ferrari,37.0,+1.584 56.130,0.052,,227.236,FP1,,,
18,N. Latifi  Williams,6,Williams,Mercedes,48.0,+2.218 56.764,0.634,,224.698,FP1,,,
19,P. Fittipaldi  Haas F1 Team,51,Haas,Ferrari,24.0,+2.531 57.077,0.313,,223.466,FP1,,,
20,J. Aitken  Williams,89,Williams,Mercedes,33.0,+2.641 57.187,0.11,,223.036,FP1,,,
1,G. Russell  Mercedes,63,Mercedes,Mercedes,48.0,54.713,,,233.121,FP2,,,
2,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,43.0,+0.128 54.841,0.128,,232.577,FP2,,,
3,S. PÃ©rez  Racing Point,11,Racing Point,Mercedes,52.0,+0.153 54.866,0.025,,232.471,FP2,,,
4,E. Ocon  Renault F1 Team,31,Renault,Renault,50.0,+0.227 54.940,0.074,,232.158,FP2,,,
5,A. Albon  Red Bull Racing,23,Red Bull,Honda,42.0,+0.323 55.036,0.096,,231.753,FP2,,,
6,D. Kvyat  Racing Bulls,26,AlphaTauri,Honda,58.0,+0.355 55.068,0.032,,231.619,FP2,,,
7,L. Stroll  Racing Point,18,Racing Point,Mercedes,44.0,+0.391 55.104,0.036,,231.467,FP2,,,
8,D. Ricciardo  Renault F1 Team,3,Renault,Renault,47.0,+0.411 55.124,0.02,,231.383,FP2,,,
9,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,48.0,+0.420 55.133,0.009,,231.346,FP2,,,
10,C. Sainz  McLaren F1,55,McLaren,Renault,39.0,+0.545 55.258,0.125,,230.822,FP2,,,
11,V. Bottas  Mercedes,77,Mercedes,Mercedes,52.0,+0.608 55.321,0.063,,230.559,FP2,,,
12,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,54.0,+0.771 55.484,0.163,,229.882,FP2,,,
13,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,57.0,+0.820 55.533,0.049,,229.679,FP2,,,
14,K. Magnussen  Haas F1 Team,20,Haas,Ferrari,49.0,+1.025 55.738,0.205,,228.834,FP2,,,
15,N. Latifi  Williams,6,Williams,Mercedes,52.0,+1.071 55.784,0.046,,228.646,FP2,,,
16,S. Vettel  Ferrari,5,Ferrari,Ferrari,43.0,+1.117 55.830,0.046,,228.457,FP2,,,
17,L. Norris  McLaren F1,4,McLaren,Renault,14.0,+1.318 56.031,0.201,,227.638,FP2,,,
18,P. Fittipaldi  Haas F1 Team,51,Haas,Ferrari,56.0,+1.397 56.110,0.079,,227.317,FP2,,,
19,J. Aitken  Williams,89,Williams,Mercedes,58.0,+1.547 56.260,0.15,,226.711,FP2,,,
20,C. Leclerc  Ferrari,16,Ferrari,Ferrari,2.0,,,,,FP2,,,
1,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,23.0,54.064,,,235.92,FP3,,,
2,V. Bottas  Mercedes,77,Mercedes,Mercedes,20.0,+0.206 54.270,0.206,,235.024,FP3,,,
3,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,24.0,+0.363 54.427,0.157,,234.346,FP3,,,
4,E. Ocon  Renault F1 Team,31,Renault,Renault,21.0,+0.389 54.453,0.026,,234.235,FP3,,,
