Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
1,V. Bottas  Mercedes,77,Mercedes,Mercedes,33.0,1'17.879,,,242.453,FP1,,,
2,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,32.0,+0.048 1'17.927,0.048,,242.303,FP1,,,
3,C. Leclerc  Ferrari,16,Ferrari,Ferrari,27.0,+0.307 1'18.186,0.259,,241.501,FP1,,,
4,L. Hamilton  Mercedes,44,Mercedes,Mercedes,28.0,+0.530 1'18.409,0.223,,240.814,FP1,,,
5,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,30.0,+0.797 1'18.676,0.267,,239.996,FP1,,,
6,E. Ocon  Renault F1 Team,31,Renault,Renault,28.0,+0.926 1'18.805,0.129,,239.604,FP1,,,
7,D. Kvyat  Racing Bulls,26,AlphaTauri,Honda,31.0,+0.960 1'18.839,0.034,,239.5,FP1,,,
8,L. Norris  McLaren F1,4,McLaren,Renault,30.0,+1.102 1'18.981,0.142,,239.07,FP1,,,
9,A. Albon  Red Bull Racing,23,Red Bull,Honda,34.0,+1.189 1'19.068,0.087,,238.807,FP1,,,
10,D. Ricciardo  Renault F1 Team,3,Renault,Renault,25.0,+1.261 1'19.140,0.072,,238.589,FP1,,,
11,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,21.0,+1.340 1'19.219,0.079,,238.351,FP1,,,
12,R. Grosjean  Haas F1 Team,8,Haas,Ferrari,25.0,+1.345 1'19.224,0.005,,238.336,FP1,,,
13,S. Vettel  Ferrari,5,Ferrari,Ferrari,27.0,+1.388 1'19.267,0.043,,238.207,FP1,,,
14,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,28.0,+1.443 1'19.322,0.055,,238.042,FP1,,,
15,C. Sainz  McLaren F1,55,McLaren,Renault,33.0,+1.578 1'19.457,0.135,,237.637,FP1,,,
16,G. Russell  Williams,63,Williams,Mercedes,29.0,+1.599 1'19.478,0.021,,237.575,FP1,,,
17,K. Magnussen  Haas F1 Team,20,Haas,Ferrari,25.0,+1.672 1'19.551,0.073,,237.357,FP1,,,
18,L. Stroll  Racing Point,18,Racing Point,Mercedes,23.0,+1.957 1'19.836,0.285,,236.509,FP1,,,
19,S. PÃ©rez  Racing Point,11,Racing Point,Mercedes,29.0,+1.961 1'19.840,0.004,,236.497,FP1,,,
20,N. Latifi  Williams,6,Williams,Mercedes,32.0,+2.155 1'20.034,0.194,,235.924,FP1,,,
1,V. Bottas  Mercedes,77,Mercedes,Mercedes,28.0,1'16.989,,,245.255,FP2,,,
2,L. Hamilton  Mercedes,44,Mercedes,Mercedes,29.0,+0.207 1'17.196,0.207,,244.598,FP2,,,
3,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,25.0,+0.246 1'17.235,0.039,,244.474,FP2,,,
4,A. Albon  Red Bull Racing,23,Red Bull,Honda,28.0,+0.982 1'17.971,0.736,,242.166,FP2,,,
5,D. Ricciardo  Renault F1 Team,3,Renault,Renault,32.0,+1.050 1'18.039,0.068,,241.955,FP2,,,
6,E. Ocon  Renault F1 Team,31,Renault,Renault,29.0,+1.126 1'18.115,0.076,,241.72,FP2,,,
7,S. PÃ©rez  Racing Point,11,Racing Point,Mercedes,34.0,+1.209 1'18.198,0.083,,241.463,FP2,,,
8,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,30.0,+1.255 1'18.244,0.046,,241.322,FP2,,,
9,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,38.0,+1.396 1'18.385,0.141,,240.887,FP2,,,
10,C. Leclerc  Ferrari,16,Ferrari,Ferrari,27.0,+1.411 1'18.400,0.015,,240.841,FP2,,,
11,L. Stroll  Racing Point,18,Racing Point,Mercedes,37.0,+1.473 1'18.462,0.062,,240.651,FP2,,,
12,S. Vettel  Ferrari,5,Ferrari,Ferrari,39.0,+1.509 1'18.498,0.036,,240.541,FP2,,,
13,C. Sainz  McLaren F1,55,McLaren,Renault,32.0,+1.662 1'18.651,0.153,,240.073,FP2,,,
14,L. Norris  McLaren F1,4,McLaren,Renault,9.0,+1.669 1'18.658,0.007,,240.051,FP2,,,
15,D. Kvyat  Racing Bulls,26,AlphaTauri,Honda,33.0,+1.747 1'18.736,0.078,,239.814,FP2,,,
16,G. Russell  Williams,63,Williams,Mercedes,33.0,+1.854 1'18.843,0.107,,239.488,FP2,,,
17,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,35.0,+1.955 1'18.944,0.101,,239.182,FP2,,,
18,N. Latifi  Williams,6,Williams,Mercedes,31.0,+1.994 1'18.983,0.039,,239.064,FP2,,,
19,K. Magnussen  Haas F1 Team,20,Haas,Ferrari,32.0,+2.124 1'19.113,0.13,,238.671,FP2,,,
20,R. Grosjean  Haas F1 Team,8,Haas,Ferrari,5.0,+2.268 1'19.257,0.144,,238.237,FP2,,,
1,V. Bottas  Mercedes,77,Mercedes,Mercedes,17.0,1'16.530,,,246.726,FP3,,,
2,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,10.0,+0.017 1'16.547,0.017,,246.671,FP3,,,
3,L. Hamilton  Mercedes,44,Mercedes,Mercedes,14.0,+0.083 1'16.613,0.066,,246.459,FP3,,,
4,L. Stroll  Racing Point,18,Racing Point,Mercedes,10.0,+0.582 1'17.112,0.499,,244.864,FP3,,,
5,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,14.0,+0.696 1'17.226,0.114,,244.503,FP3,,,
6,S. PÃ©rez  Racing Point,11,Racing Point,Mercedes,14.0,+0.811 1'17.341,0.115,,244.139,FP3,,,
7,C. Leclerc  Ferrari,16,Ferrari,Ferrari,15.0,+0.958 1'17.488,0.147,,243.676,FP3,,,
8,A. Albon  Red Bull Racing,23,Red Bull,Honda,11.0,+1.008 1'17.538,0.05,,243.519,FP3,,,
9,D. Kvyat  Racing Bulls,26,AlphaTauri,Honda,17.0,+1.097 1'17.627,0.089,,243.24,FP3,,,
10,R. Grosjean  Haas F1 Team,8,Haas,Ferrari,19.0,+1.105 1'17.635,0.008,,243.215,FP3,,,
11,E. Ocon  Renault F1 Team,31,Renault,Renault,13.0,+1.216 1'17.746,0.111,,242.867,FP3,,,
12,C. Sainz  McLaren F1,55,McLaren,Renault,19.0,+1.238 1'17.768,0.022,,242.799,FP3,,,
13,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,15.0,+1.282 1'17.812,0.044,,242.661,FP3,,,
14,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,17.0,+1.313 1'17.843,0.031,,242.565,FP3,,,
15,K. Magnussen  Haas F1 Team,20,Haas,Ferrari,17.0,+1.509 1'18.039,0.196,,241.955,FP3,,,
16,N. Latifi  Williams,6,Williams,Mercedes,16.0,+1.542 1'18.072,0.033,,241.853,FP3,,,
17,D. Ricciardo  Renault F1 Team,3,Renault,Renault,12.0,+1.612 1'18.142,0.07,,241.637,FP3,,,
18,S. Vettel  Ferrari,5,Ferrari,Ferrari,15.0,+1.656 1'18.186,0.044,,241.501,FP3,,,
19,L. Norris  McLaren F1,4,McLaren,Renault,19.0,+2.296 1'18.826,0.64,,239.54,FP3,,,
20,G. Russell  Williams,63,Williams,Mercedes,1.0,,,,,FP3,,,
1,V. Bottas  Mercedes,77,Mercedes,Mercedes,3.0,1'15.749,,,249.27,Q1,,,
2,L. Hamilton  Mercedes,44,Mercedes,Mercedes,5.0,+0.029 1'15.778,0.029,,249.175,Q1,,,
3,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,3.0,+0.586 1'16.335,0.557,,247.357,Q1,,,
4,A. Albon  Red Bull Racing,23,Red Bull,Honda,6.0,+0.778 1'16.527,0.192,,246.736,Q1,,,
5,S. PÃ©rez  Racing Point,11,Racing Point,Mercedes,7.0,+0.847 1'16.596,0.069,,246.514,Q1,,,
6,C. Leclerc  Ferrari,16,Ferrari,Ferrari,6.0,+0.949 1'16.698,0.102,,246.186,Q1,,,
7,L. Stroll  Racing Point,18,Racing Point,Mercedes,3.0,+0.952 1'16.701,0.003,,246.176,Q1,,,
8,E. Ocon  Renault F1 Team,31,Renault,Renault,6.0,+1.076 1'16.825,0.124,,245.779,Q1,,,
9,L. Norris  McLaren F1,4,McLaren,Renault,6.0,+1.146 1'16.895,0.07,,245.555,Q1,,,
10,D. Kvyat  Racing Bulls,26,AlphaTauri,Honda,6.0,+1.179 1'16.928,0.033,,245.45,Q1,,,
