Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
1,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,23.0,1'25.009,,,223.642,FP1,,,
2,V. Bottas  Mercedes,77,Mercedes,Mercedes,27.0,+0.196 1'25.205,0.196,,223.127,FP1,,,
3,L. Hamilton  Mercedes,44,Mercedes,Mercedes,25.0,+0.346 1'25.355,0.15,,222.735,FP1,,,
4,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,24.0,+0.354 1'25.363,0.008,,222.714,FP1,,,
5,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,23.0,+0.369 1'25.378,0.015,,222.675,FP1,,,
6,F. Alonso  Alpine,14,Alpine,Renault,26.0,+0.616 1'25.625,0.247,,222.033,FP1,,,
7,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,28.0,+0.813 1'25.822,0.197,,221.523,FP1,,,
8,C. Leclerc  Ferrari,16,Ferrari,Ferrari,20.0,+0.837 1'25.846,0.024,,221.461,FP1,,,
9,C. Sainz  Ferrari,55,Ferrari,Ferrari,26.0,+0.877 1'25.886,0.04,,221.358,FP1,,,
10,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,26.0,+0.998 1'26.007,0.121,,221.047,FP1,,,
11,E. Ocon  Alpine,31,Alpine,Renault,25.0,+1.016 1'26.025,0.018,,221.0,FP1,,,
12,L. Norris  McLaren F1,4,McLaren,Mercedes,26.0,+1.114 1'26.123,0.098,,220.749,FP1,,,
13,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,25.0,+1.180 1'26.189,0.066,,220.58,FP1,,,
14,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,25.0,+1.400 1'26.409,0.22,,220.018,FP1,,,
15,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,26.0,+1.599 1'26.608,0.199,,219.513,FP1,,,
16,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,29.0,+1.667 1'26.676,0.068,,219.34,FP1,,,
17,J. Aitken  Williams,89,Williams,Mercedes,27.0,+2.472 1'27.481,0.805,,217.322,FP1,,,
18,N. Latifi  Williams,6,Williams,Mercedes,27.0,+2.478 1'27.487,0.006,,217.307,FP1,,,
19,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,24.0,+2.689 1'27.698,0.211,,216.784,FP1,,,
20,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,22.0,+3.296 1'28.305,0.607,,215.294,FP1,,,
1,L. Hamilton  Mercedes,44,Mercedes,Mercedes,26.0,1'23.691,,,227.164,FP2,,,
2,E. Ocon  Alpine,31,Alpine,Renault,29.0,+0.343 1'24.034,0.343,,226.236,FP2,,,
3,V. Bottas  Mercedes,77,Mercedes,Mercedes,29.0,+0.392 1'24.083,0.049,,226.105,FP2,,,
4,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,25.0,+0.641 1'24.332,0.249,,225.437,FP2,,,
5,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,26.0,+0.709 1'24.400,0.068,,225.255,FP2,,,
6,F. Alonso  Alpine,14,Alpine,Renault,27.0,+0.804 1'24.495,0.095,,225.002,FP2,,,
7,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,26.0,+0.841 1'24.532,0.037,,224.904,FP2,,,
8,C. Leclerc  Ferrari,16,Ferrari,Ferrari,29.0,+0.866 1'24.557,0.025,,224.837,FP2,,,
9,C. Sainz  Ferrari,55,Ferrari,Ferrari,29.0,+1.153 1'24.844,0.287,,224.077,FP2,,,
10,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,27.0,+1.249 1'24.940,0.096,,223.823,FP2,,,
11,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,26.0,+1.268 1'24.959,0.019,,223.773,FP2,,,
12,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,27.0,+1.417 1'25.108,0.149,,223.382,FP2,,,
13,L. Norris  McLaren F1,4,McLaren,Mercedes,27.0,+1.462 1'25.153,0.045,,223.264,FP2,,,
14,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,27.0,+1.504 1'25.195,0.042,,223.153,FP2,,,
15,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,26.0,+1.694 1'25.385,0.19,,222.657,FP2,,,
16,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,23.0,+1.749 1'25.440,0.055,,222.514,FP2,,,
17,G. Russell  Williams,63,Williams,Mercedes,29.0,+1.858 1'25.549,0.109,,222.23,FP2,,,
18,N. Latifi  Williams,6,Williams,Mercedes,22.0,+1.996 1'25.687,0.138,,221.872,FP2,,,
19,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,27.0,+2.093 1'25.784,0.097,,221.621,FP2,,,
20,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,26.0,+2.645 1'26.336,0.552,,220.204,FP2,,,
1,L. Hamilton  Mercedes,44,Mercedes,Mercedes,23.0,1'23.274,,,228.301,FP3,,,
