Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
1,L. Hamilton  Mercedes,44,Mercedes,Mercedes,21.0,1'29.786,,,247.548,FP1,,,
2,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,23.0,+0.056 1'29.842,0.056,,247.394,FP1,,,
3,V. Bottas  Mercedes,77,Mercedes,Mercedes,24.0,+0.223 1'30.009,0.167,,246.935,FP1,,,
4,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,28.0,+0.477 1'30.263,0.254,,246.24,FP1,,,
5,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,27.0,+0.532 1'30.318,0.055,,246.09,FP1,,,
6,C. Sainz  Ferrari,55,Ferrari,Ferrari,26.0,+0.778 1'30.564,0.246,,245.422,FP1,,,
7,C. Leclerc  Ferrari,16,Ferrari,Ferrari,26.0,+0.814 1'30.600,0.036,,245.324,FP1,,,
8,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,25.0,+0.822 1'30.608,0.008,,245.302,FP1,,,
9,F. Alonso  Alpine,14,Alpine,Renault,27.0,+1.056 1'30.842,0.234,,244.67,FP1,,,
10,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,25.0,+1.100 1'30.886,0.044,,244.552,FP1,,,
11,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,27.0,+1.174 1'30.960,0.074,,244.353,FP1,,,
12,E. Ocon  Alpine,31,Alpine,Renault,29.0,+1.237 1'31.023,0.063,,244.184,FP1,,,
13,L. Norris  McLaren F1,4,McLaren,Mercedes,23.0,+1.243 1'31.029,0.006,,244.168,FP1,,,
14,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,25.0,+1.258 1'31.044,0.015,,244.128,FP1,,,
15,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,26.0,+1.313 1'31.099,0.055,,243.98,FP1,,,
16,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,26.0,+1.510 1'31.296,0.197,,243.454,FP1,,,
17,G. Russell  Williams,63,Williams,Mercedes,28.0,+1.557 1'31.343,0.047,,243.328,FP1,,,
18,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,24.0,+1.739 1'31.525,0.182,,242.845,FP1,,,
19,N. Latifi  Williams,6,Williams,Mercedes,27.0,+2.035 1'31.821,0.296,,242.062,FP1,,,
20,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,23.0,+3.678 1'33.464,1.643,,237.807,FP1,,,
1,L. Hamilton  Mercedes,44,Mercedes,Mercedes,22.0,1'29.018,,,249.684,FP2,,,
2,V. Bottas  Mercedes,77,Mercedes,Mercedes,23.0,+0.061 1'29.079,0.061,,249.513,FP2,,,
3,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,22.0,+0.081 1'29.099,0.02,,249.457,FP2,,,
4,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,20.0,+0.195 1'29.213,0.114,,249.138,FP2,,,
5,F. Alonso  Alpine,14,Alpine,Renault,21.0,+0.423 1'29.441,0.228,,248.503,FP2,,,
6,E. Ocon  Alpine,31,Alpine,Renault,22.0,+0.537 1'29.555,0.114,,248.187,FP2,,,
7,C. Sainz  Ferrari,55,Ferrari,Ferrari,24.0,+0.571 1'29.589,0.034,,248.092,FP2,,,
8,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,20.0,+0.579 1'29.597,0.008,,248.07,FP2,,,
9,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,22.0,+0.750 1'29.768,0.171,,247.598,FP2,,,
10,C. Leclerc  Ferrari,16,Ferrari,Ferrari,23.0,+0.754 1'29.772,0.004,,247.587,FP2,,,
11,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,22.0,+0.950 1'29.968,0.196,,247.047,FP2,,,
12,L. Norris  McLaren F1,4,McLaren,Mercedes,19.0,+0.986 1'30.004,0.036,,246.949,FP2,,,
13,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,23.0,+1.092 1'30.110,0.106,,246.658,FP2,,,
14,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,24.0,+1.258 1'30.276,0.166,,246.204,FP2,,,
15,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,22.0,+1.424 1'30.442,0.166,,245.753,FP2,,,
16,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,22.0,+1.484 1'30.502,0.06,,245.59,FP2,,,
17,G. Russell  Williams,63,Williams,Mercedes,24.0,+1.488 1'30.506,0.004,,245.579,FP2,,,
18,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,20.0,+1.634 1'30.652,0.146,,245.183,FP2,,,
19,N. Latifi  Williams,6,Williams,Mercedes,23.0,+2.021 1'31.039,0.387,,244.141,FP2,,,
20,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,20.0,+2.611 1'31.629,0.59,,242.569,FP2,,,
1,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,20.0,1'28.100,,,252.286,FP3,,,
2,L. Hamilton  Mercedes,44,Mercedes,Mercedes,23.0,+0.214 1'28.314,0.214,,251.674,FP3,,,
3,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,21.0,+0.529 1'28.629,0.315,,250.78,FP3,,,
4,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,20.0,+0.541 1'28.641,0.012,,250.746,FP3,,,
5,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,22.0,+0.615 1'28.715,0.074,,250.537,FP3,,,
6,V. Bottas  Mercedes,77,Mercedes,Mercedes,19.0,+0.919 1'29.019,0.304,,249.681,FP3,,,
7,C. Leclerc  Ferrari,16,Ferrari,Ferrari,22.0,+1.001 1'29.101,0.082,,249.451,FP3,,,
8,C. Sainz  Ferrari,55,Ferrari,Ferrari,19.0,+1.049 1'29.149,0.048,,249.317,FP3,,,
9,E. Ocon  Alpine,31,Alpine,Renault,19.0,+1.077 1'29.177,0.028,,249.239,FP3,,,
10,L. Norris  McLaren F1,4,McLaren,Mercedes,18.0,+1.200 1'29.300,0.123,,248.895,FP3,,,
11,F. Alonso  Alpine,14,Alpine,Renault,21.0,+1.318 1'29.418,0.118,,248.567,FP3,,,
12,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,20.0,+1.490 1'29.590,0.172,,248.09,FP3,,,
13,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,24.0,+1.589 1'29.689,0.099,,247.816,FP3,,,
14,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,19.0,+1.617 1'29.717,0.028,,247.739,FP3,,,
15,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,14.0,+1.930 1'30.030,0.313,,246.877,FP3,,,
16,G. Russell  Williams,63,Williams,Mercedes,17.0,+1.934 1'30.034,0.004,,246.866,FP3,,,
17,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,15.0,+2.196 1'30.296,0.262,,246.15,FP3,,,
18,N. Latifi  Williams,6,Williams,Mercedes,17.0,+2.266 1'30.366,0.07,,245.959,FP3,,,
19,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,20.0,+2.833 1'30.933,0.567,,244.426,FP3,,,
20,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,23.0,+2.879 1'30.979,0.046,,244.302,FP3,,,
1,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,9.0,1'28.021,,,252.512,Q1,,,
2,V. Bottas  Mercedes,77,Mercedes,Mercedes,9.0,+0.036 1'28.057,0.036,,252.409,Q1,,,
3,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,9.0,+0.195 1'28.216,0.159,,251.954,Q1,,,
4,C. Sainz  Ferrari,55,Ferrari,Ferrari,9.0,+0.216 1'28.237,0.021,,251.894,Q1,,,
5,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,8.0,+0.264 1'28.285,0.048,,251.757,Q1,,,
6,C. Leclerc  Ferrari,16,Ferrari,Ferrari,9.0,+0.289 1'28.310,0.025,,251.686,Q1,,,
7,L. Norris  McLaren F1,4,McLaren,Mercedes,8.0,+0.317 1'28.338,0.028,,251.606,Q1,,,
8,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,10.0,+0.380 1'28.401,0.063,,251.427,Q1,,,
9,L. Hamilton  Mercedes,44,Mercedes,Mercedes,7.0,+0.445 1'28.466,0.065,,251.242,Q1,,,
10,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,10.0,+0.482 1'28.503,0.037,,251.137,Q1,,,
11,E. Ocon  Alpine,31,Alpine,Renault,10.0,+0.731 1'28.752,0.249,,250.432,Q1,,,
12,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,10.0,+0.835 1'28.856,0.104,,250.139,Q1,,,
13,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,10.0,+0.878 1'28.899,0.043,,250.018,Q1,,,
14,G. Russell  Williams,63,Williams,Mercedes,10.0,+0.905 1'28.926,0.027,,249.942,Q1,,,
15,F. Alonso  Alpine,14,Alpine,Renault,10.0,+0.923 1'28.944,0.018,,249.892,Q1,,,
16,N. Latifi  Williams,6,Williams,Mercedes,9.0,+1.156 1'29.177,0.233,,249.239,Q1,,,
17,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,10.0,+1.177 1'29.198,0.021,,249.18,Q1,,,
18,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,9.0,+1.347 1'29.368,0.17,,248.706,Q1,,,
19,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,9.0,+1.443 1'29.464,0.096,,248.439,Q1,,,
20,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,8.0,+2.452 1'30.473,1.009,,245.668,Q1,,,
1,L. Hamilton  Mercedes,44,Mercedes,Mercedes,9.0,1'27.712,,,253.402,Q2,,,
2,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,9.0,+0.234 1'27.946,0.234,,252.727,Q2,,,
3,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,6.0,+0.241 1'27.953,0.007,,252.707,Q2,,,
4,V. Bottas  Mercedes,77,Mercedes,Mercedes,7.0,+0.342 1'28.054,0.101,,252.417,Q2,,,
5,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,9.0,+0.510 1'28.222,0.168,,251.937,Q2,,,
6,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,9.0,+0.602 1'28.314,0.092,,251.674,Q2,,,
7,L. Norris  McLaren F1,4,McLaren,Mercedes,8.0,+0.632 1'28.344,0.03,,251.589,Q2,,,
8,C. Leclerc  Ferrari,16,Ferrari,Ferrari,8.0,+0.747 1'28.459,0.115,,251.262,Q2,,,
9,E. Ocon  Alpine,31,Alpine,Renault,7.0,+0.862 1'28.574,0.115,,250.935,Q2,,,
10,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,6.0,+0.904 1'28.616,0.042,,250.817,Q2,,,
11,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,8.0,+0.956 1'28.668,0.052,,250.669,Q2,,,
12,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,8.0,+1.173 1'28.885,0.217,,250.057,Q2,,,
13,F. Alonso  Alpine,14,Alpine,Renault,7.0,+1.208 1'28.920,0.035,,249.959,Q2,,,
14,G. Russell  Williams,63,Williams,Mercedes,7.0,+1.342 1'29.054,0.134,,249.583,Q2,,,
15,C. Sainz  Ferrari,55,Ferrari,Ferrari,7.0,+25.940 1'53.652,24.598,,195.565,Q2,,,
1,L. Hamilton  Mercedes,44,Mercedes,Mercedes,7.0,1'27.511,,,253.984,Q3,,,
2,V. Bottas  Mercedes,77,Mercedes,Mercedes,9.0,+0.111 1'27.622,0.111,,253.662,Q3,,,
3,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,5.0,+0.142 1'27.653,0.031,,253.572,Q3,,,
4,C. Leclerc  Ferrari,16,Ferrari,Ferrari,7.0,+0.543 1'28.054,0.401,,252.417,Q3,,,
5,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,5.0,+0.612 1'28.123,0.069,,252.22,Q3,,,
6,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,7.0,+0.614 1'28.125,0.002,,252.214,Q3,,,
7,L. Norris  McLaren F1,4,McLaren,Mercedes,5.0,+0.669 1'28.180,0.055,,252.057,Q3,,,
8,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,7.0,+0.931 1'28.442,0.262,,251.31,Q3,,,
9,E. Ocon  Alpine,31,Alpine,Renault,5.0,+1.136 1'28.647,0.205,,250.729,Q3,,,
10,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,5.0,+1.243 1'28.754,0.107,,250.427,Q3,,,
1,L. Hamilton  Mercedes,44,Mercedes,Mercedes,,1'27.511,,,253.984,Quali,,,
2,V. Bottas  Mercedes,77,Mercedes,Mercedes,,+0.111 1'27.622,,,253.662,Quali,,,
3,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,,+0.142 1'27.653,,,253.572,Quali,,,
4,C. Leclerc  Ferrari,16,Ferrari,Ferrari,,+0.543 1'28.054,,,252.417,Quali,,,
5,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,,+0.612 1'28.123,,,252.22,Quali,,,
6,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,,+0.614 1'28.125,,,252.214,Quali,,,
7,L. Norris  McLaren F1,4,McLaren,Mercedes,,+0.669 1'28.180,,,252.057,Quali,,,
8,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,,+0.931 1'28.442,,,251.31,Quali,,,
9,E. Ocon  Alpine,31,Alpine,Renault,,+1.136 1'28.647,,,250.729,Quali,,,
10,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,,+1.243 1'28.754,,,250.427,Quali,,,
11,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,,+1.157 1'28.668,,,250.669,Quali,,,
12,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,,+1.374 1'28.885,,,250.057,Quali,,,
13,F. Alonso  Alpine,14,Alpine,Renault,,+1.409 1'28.920,,,249.959,Quali,,,
14,G. Russell  Williams,63,Williams,Mercedes,,+1.543 1'29.054,,,249.583,Quali,,,
