Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
1,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,37.0,1'05.143,,,238.625,FP1,,,
2,C. Leclerc  Ferrari,16,Ferrari,Ferrari,33.0,+0.266 1'05.409,0.266,,237.655,FP1,,,
3,C. Sainz  Ferrari,55,Ferrari,Ferrari,33.0,+0.288 1'05.431,0.022,,237.575,FP1,,,
4,V. Bottas  Mercedes,77,Mercedes,Mercedes,31.0,+0.302 1'05.445,0.014,,237.524,FP1,,,
5,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,35.0,+0.331 1'05.474,0.029,,237.419,FP1,,,
6,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,28.0,+0.443 1'05.586,0.112,,237.013,FP1,,,
7,L. Hamilton  Mercedes,44,Mercedes,Mercedes,32.0,+0.566 1'05.709,0.123,,236.57,FP1,,,
8,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,31.0,+0.583 1'05.726,0.017,,236.509,FP1,,,
9,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,36.0,+0.583 1'05.726,0.0,,236.509,FP1,,,
10,L. Norris  McLaren F1,4,McLaren,Mercedes,28.0,+0.737 1'05.880,0.154,,235.956,FP1,,,
11,E. Ocon  Alpine,31,Alpine,Renault,30.0,+0.837 1'05.980,0.1,,235.598,FP1,,,
12,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,31.0,+1.038 1'06.181,0.201,,234.883,FP1,,,
13,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,30.0,+1.060 1'06.203,0.022,,234.805,FP1,,,
14,G. Zhou  Alpine,37,Alpine,Renault,29.0,+1.271 1'06.414,0.211,,234.059,FP1,,,
15,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,28.0,+1.301 1'06.444,0.03,,233.953,FP1,,,
16,C. Ilott  Alfa Romeo,98,Alfa Romeo,Ferrari,23.0,+1.421 1'06.564,0.12,,233.531,FP1,,,
17,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,29.0,+1.440 1'06.583,0.019,,233.464,FP1,,,
18,R. Nissany  Williams,45,Williams,Mercedes,34.0,+1.540 1'06.683,0.1,,233.114,FP1,,,
19,N. Latifi  Williams,6,Williams,Mercedes,36.0,+1.835 1'06.978,0.295,,232.088,FP1,,,
20,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,30.0,+2.173 1'07.316,0.338,,230.922,FP1,,,
1,L. Hamilton  Mercedes,44,Mercedes,Mercedes,31.0,1'04.523,,,240.918,FP2,,,
2,V. Bottas  Mercedes,77,Mercedes,Mercedes,34.0,+0.189 1'04.712,0.189,,240.215,FP2,,,
3,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,35.0,+0.217 1'04.740,0.028,,240.111,FP2,,,
4,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,33.0,+0.616 1'05.139,0.399,,238.64,FP2,,,
5,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,37.0,+0.745 1'05.268,0.129,,238.168,FP2,,,
6,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,37.0,+0.833 1'05.356,0.088,,237.848,FP2,,,
7,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,38.0,+0.856 1'05.379,0.023,,237.764,FP2,,,
8,F. Alonso  Alpine,14,Alpine,Renault,34.0,+0.870 1'05.393,0.014,,237.713,FP2,,,
9,L. Norris  McLaren F1,4,McLaren,Mercedes,34.0,+0.943 1'05.466,0.073,,237.448,FP2,,,
