Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
1,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,19.0,1'43.184,,,209.439,FP1,,,
2,C. Leclerc  Ferrari,16,Ferrari,Ferrari,20.0,+0.043 1'43.227,0.043,,209.352,FP1,,,
3,C. Sainz  Ferrari,55,Ferrari,Ferrari,20.0,+0.337 1'43.521,0.294,,208.757,FP1,,,
4,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,17.0,+0.446 1'43.630,0.109,,208.538,FP1,,,
5,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,25.0,+0.548 1'43.732,0.102,,208.333,FP1,,,
6,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,23.0,+0.573 1'43.757,0.025,,208.282,FP1,,,
7,L. Hamilton  Mercedes,44,Mercedes,Mercedes,20.0,+0.709 1'43.893,0.136,,208.01,FP1,,,
8,L. Norris  McLaren F1,4,McLaren,Mercedes,20.0,+0.812 1'43.996,0.103,,207.804,FP1,,,
9,F. Alonso  Alpine,14,Alpine,Renault,25.0,+1.593 1'44.777,0.781,,206.255,FP1,,,
10,V. Bottas  Mercedes,77,Mercedes,Mercedes,20.0,+1.707 1'44.891,0.114,,206.031,FP1,,,
11,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,18.0,+1.759 1'44.943,0.052,,205.928,FP1,,,
12,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,20.0,+1.908 1'45.092,0.149,,205.636,FP1,,,
13,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,23.0,+2.050 1'45.234,0.142,,205.359,FP1,,,
14,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,25.0,+2.200 1'45.384,0.15,,205.067,FP1,,,
15,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,24.0,+2.231 1'45.415,0.031,,205.006,FP1,,,
16,E. Ocon  Alpine,31,Alpine,Renault,23.0,+2.262 1'45.446,0.031,,204.946,FP1,,,
17,G. Russell  Williams,63,Williams,Mercedes,24.0,+2.268 1'45.452,0.006,,204.934,FP1,,,
18,N. Latifi  Williams,6,Williams,Mercedes,22.0,+2.590 1'45.774,0.322,,204.311,FP1,,,
19,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,20.0,+3.715 1'46.899,1.125,,202.16,FP1,,,
20,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,18.0,+3.761 1'46.945,0.046,,202.073,FP1,,,
1,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,22.0,1'42.115,,,211.631,FP2,,,
2,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,23.0,+0.101 1'42.216,0.101,,211.422,FP2,,,
3,C. Sainz  Ferrari,55,Ferrari,Ferrari,24.0,+0.128 1'42.243,0.027,,211.367,FP2,,,
4,C. Leclerc  Ferrari,16,Ferrari,Ferrari,22.0,+0.321 1'42.436,0.193,,210.968,FP2,,,
5,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,26.0,+0.419 1'42.534,0.098,,210.767,FP2,,,
6,F. Alonso  Alpine,14,Alpine,Renault,24.0,+0.578 1'42.693,0.159,,210.44,FP2,,,
7,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,25.0,+0.826 1'42.941,0.248,,209.933,FP2,,,
8,L. Norris  McLaren F1,4,McLaren,Mercedes,24.0,+0.903 1'43.018,0.077,,209.776,FP2,,,
9,E. Ocon  Alpine,31,Alpine,Renault,23.0,+0.905 1'43.020,0.002,,209.772,FP2,,,
10,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,25.0,+1.015 1'43.130,0.11,,209.549,FP2,,,
11,L. Hamilton  Mercedes,44,Mercedes,Mercedes,24.0,+1.041 1'43.156,0.026,,209.496,FP2,,,
12,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,23.0,+1.105 1'43.220,0.064,,209.366,FP2,,,
13,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,23.0,+1.183 1'43.298,0.078,,209.208,FP2,,,
14,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,21.0,+1.697 1'43.812,0.514,,208.172,FP2,,,
15,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,22.0,+1.766 1'43.881,0.069,,208.034,FP2,,,
16,V. Bottas  Mercedes,77,Mercedes,Mercedes,23.0,+2.069 1'44.184,0.303,,207.429,FP2,,,
17,G. Russell  Williams,63,Williams,Mercedes,24.0,+2.442 1'44.557,0.373,,206.689,FP2,,,
18,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,23.0,+3.448 1'45.563,1.006,,204.719,FP2,,,
19,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,12.0,+3.980 1'46.095,0.532,,203.692,FP2,,,
20,N. Latifi  Williams,6,Williams,Mercedes,5.0,+4.868 1'46.983,0.888,,202.002,FP2,,,
1,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,16.0,1'42.251,,,211.35,FP3,,,
2,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,19.0,+0.344 1'42.595,0.344,,210.641,FP3,,,
3,L. Hamilton  Mercedes,44,Mercedes,Mercedes,16.0,+0.446 1'42.697,0.102,,210.432,FP3,,,
4,C. Leclerc  Ferrari,16,Ferrari,Ferrari,16.0,+0.527 1'42.778,0.081,,210.266,FP3,,,
5,C. Sainz  Ferrari,55,Ferrari,Ferrari,17.0,+0.755 1'43.006,0.228,,209.801,FP3,,,
6,L. Norris  McLaren F1,4,McLaren,Mercedes,15.0,+0.760 1'43.011,0.005,,209.791,FP3,,,
7,F. Alonso  Alpine,14,Alpine,Renault,15.0,+0.829 1'43.080,0.069,,209.65,FP3,,,
8,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,19.0,+0.993 1'43.244,0.164,,209.317,FP3,,,
9,E. Ocon  Alpine,31,Alpine,Renault,15.0,+1.043 1'43.294,0.05,,209.216,FP3,,,
10,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,17.0,+1.306 1'43.557,0.263,,208.685,FP3,,,
11,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,13.0,+1.334 1'43.585,0.028,,208.628,FP3,,,
12,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,13.0,+1.431 1'43.682,0.097,,208.433,FP3,,,
13,V. Bottas  Mercedes,77,Mercedes,Mercedes,16.0,+1.494 1'43.745,0.063,,208.306,FP3,,,
14,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,17.0,+1.575 1'43.826,0.081,,208.144,FP3,,,
15,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,6.0,+1.733 1'43.984,0.158,,207.828,FP3,,,
16,N. Latifi  Williams,6,Williams,Mercedes,17.0,+1.803 1'44.054,0.07,,207.688,FP3,,,
17,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,11.0,+1.862 1'44.113,0.059,,207.57,FP3,,,
18,G. Russell  Williams,63,Williams,Mercedes,12.0,+2.183 1'44.434,0.321,,206.932,FP3,,,
19,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,17.0,+3.031 1'45.282,0.848,,205.265,FP3,,,
20,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,12.0,+3.460 1'45.711,0.429,,204.432,FP3,,,
1,L. Hamilton  Mercedes,44,Mercedes,Mercedes,9.0,1'41.545,,,212.819,Q1,,,
2,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,8.0,+0.215 1'41.760,0.215,,212.37,Q1,,,
3,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,8.0,+0.423 1'41.968,0.208,,211.937,Q1,,,
4,C. Sainz  Ferrari,55,Ferrari,Ferrari,8.0,+0.576 1'42.121,0.153,,211.619,Q1,,,
5,L. Norris  McLaren F1,4,McLaren,Mercedes,10.0,+0.622 1'42.167,0.046,,211.524,Q1,,,
6,C. Leclerc  Ferrari,16,Ferrari,Ferrari,9.0,+0.696 1'42.241,0.074,,211.371,Q1,,,
7,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,9.0,+0.743 1'42.288,0.047,,211.274,Q1,,,
8,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,9.0,+0.759 1'42.304,0.016,,211.241,Q1,,,
9,E. Ocon  Alpine,31,Alpine,Renault,5.0,+0.881 1'42.426,0.122,,210.989,Q1,,,
10,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,10.0,+0.915 1'42.460,0.034,,210.919,Q1,,,
11,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,9.0,+0.976 1'42.521,0.061,,210.793,Q1,,,
12,V. Bottas  Mercedes,77,Mercedes,Mercedes,9.0,+1.156 1'42.701,0.18,,210.424,Q1,,,
13,G. Russell  Williams,63,Williams,Mercedes,8.0,+1.183 1'42.728,0.027,,210.369,Q1,,,
14,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,9.0,+1.378 1'42.923,0.195,,209.97,Q1,,,
15,F. Alonso  Alpine,14,Alpine,Renault,10.0,+1.389 1'42.934,0.011,,209.948,Q1,,,
16,N. Latifi  Williams,6,Williams,Mercedes,8.0,+1.583 1'43.128,0.194,,209.553,Q1,,,
17,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,10.0,+2.613 1'44.158,1.03,,207.48,Q1,,,
18,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,9.0,+2.693 1'44.238,0.08,,207.321,Q1,,,
19,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,2.0,,,,,Q1,,,
20,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,4.0,,,,,Q1,,,
1,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,6.0,1'41.625,,,212.652,Q2,,,
2,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,5.0,+0.005 1'41.630,0.005,,212.641,Q2,,,
3,L. Hamilton  Mercedes,44,Mercedes,Mercedes,6.0,+0.009 1'41.634,0.004,,212.633,Q2,,,
4,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,6.0,+0.029 1'41.654,0.02,,212.591,Q2,,,
5,C. Leclerc  Ferrari,16,Ferrari,Ferrari,5.0,+0.034 1'41.659,0.005,,212.581,Q2,,,
6,C. Sainz  Ferrari,55,Ferrari,Ferrari,5.0,+0.115 1'41.740,0.081,,212.412,Q2,,,
7,L. Norris  McLaren F1,4,McLaren,Mercedes,5.0,+0.188 1'41.813,0.073,,212.259,Q2,,,
8,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,5.0,+0.307 1'41.932,0.119,,212.011,Q2,,,
9,V. Bottas  Mercedes,77,Mercedes,Mercedes,6.0,+0.481 1'42.106,0.174,,211.65,Q2,,,
10,F. Alonso  Alpine,14,Alpine,Renault,5.0,+0.570 1'42.195,0.089,,211.466,Q2,,,
11,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,5.0,+0.599 1'42.224,0.029,,211.406,Q2,,,
12,E. Ocon  Alpine,31,Alpine,Renault,6.0,+0.648 1'42.273,0.049,,211.305,Q2,,,
13,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,5.0,+0.933 1'42.558,0.285,,210.717,Q2,,,
14,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,6.0,+0.962 1'42.587,0.029,,210.658,Q2,,,
15,G. Russell  Williams,63,Williams,Mercedes,4.0,+1.133 1'42.758,0.171,,210.307,Q2,,,
1,C. Leclerc  Ferrari,16,Ferrari,Ferrari,5.0,1'41.218,,,213.507,Q3,,,
2,L. Hamilton  Mercedes,44,Mercedes,Mercedes,6.0,+0.232 1'41.450,0.232,,213.019,Q3,,,
3,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,5.0,+0.345 1'41.563,0.113,,212.782,Q3,,,
4,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,4.0,+0.347 1'41.565,0.002,,212.778,Q3,,,
5,C. Sainz  Ferrari,55,Ferrari,Ferrari,5.0,+0.358 1'41.576,0.011,,212.754,Q3,,,
6,L. Norris  McLaren F1,4,McLaren,Mercedes,5.0,+0.529 1'41.747,0.171,,212.397,Q3,,,
7,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,5.0,+0.699 1'41.917,0.17,,212.043,Q3,,,
8,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,4.0,+0.993 1'42.211,0.294,,211.433,Q3,,,
9,F. Alonso  Alpine,14,Alpine,Renault,5.0,+1.109 1'42.327,0.116,,211.193,Q3,,,
10,V. Bottas  Mercedes,77,Mercedes,Mercedes,6.0,+1.441 1'42.659,0.332,,210.51,Q3,,,
1,C. Leclerc  Ferrari,16,Ferrari,Ferrari,,1'41.218,,,213.507,Quali,,,
2,L. Hamilton  Mercedes,44,Mercedes,Mercedes,,+0.232 1'41.450,,,213.019,Quali,,,
3,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,,+0.345 1'41.563,,,212.782,Quali,,,
4,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,,+0.347 1'41.565,,,212.778,Quali,,,
5,C. Sainz  Ferrari,55,Ferrari,Ferrari,,+0.358 1'41.576,,,212.754,Quali,,,
6,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,,+0.699 1'41.917,,,212.043,Quali,,,
7,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,,+0.993 1'42.211,,,211.433,Quali,,,
8,F. Alonso  Alpine,14,Alpine,Renault,,+1.109 1'42.327,,,211.193,Quali,,,
9,L. Norris  McLaren F1,4,McLaren,Mercedes,,+0.529 1'41.747,,,212.397,Quali,,,
10,V. Bottas  Mercedes,77,Mercedes,Mercedes,,+1.441 1'42.659,,,210.51,Quali,,,
11,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,,+1.006 1'42.224,,,211.406,Quali,,,
12,E. Ocon  Alpine,31,Alpine,Renault,,+1.055 1'42.273,,,211.305,Quali,,,
13,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,,+1.340 1'42.558,,,210.717,Quali,,,
14,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,,+1.369 1'42.587,,,210.658,Quali,,,
15,G. Russell  Williams,63,Williams,Mercedes,,+1.540 1'42.758,,,210.307,Quali,,,
16,N. Latifi  Williams,6,Williams,Mercedes,,+1.910 1'43.128,,,209.553,Quali,,,
17,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,,+2.940 1'44.158,,,207.48,Quali,,,
18,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,,+3.020 1'44.238,,,207.321,Quali,,,
19,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,,,,,,Quali,,,
20,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,,,,,,Quali,,,
1,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,51.0,2:13'36.410,,,137.44,Race,3.0,25.0,
2,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,51.0,+1.385 2:13'37.795,1.385,,137.416,Race,3.0,18.0,
3,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,51.0,+2.762 2:13'39.172,1.377,,137.392,Race,3.0,15.0,
4,C. Leclerc  Ferrari,16,Ferrari,Ferrari,51.0,+3.828 2:13'40.238,1.066,,137.374,Race,3.0,12.0,
5,L. Norris  McLaren F1,4,McLaren,Mercedes,51.0,+4.754 2:13'41.164,0.926,,137.358,Race,3.0,10.0,
6,F. Alonso  Alpine,14,Alpine,Renault,51.0,+6.382 2:13'42.792,1.628,,137.33,Race,4.0,8.0,
7,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,51.0,+6.624 2:13'43.034,0.242,,137.326,Race,3.0,6.0,
8,C. Sainz  Ferrari,55,Ferrari,Ferrari,51.0,+7.709 2:13'44.119,1.085,,137.308,Race,3.0,4.0,
9,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,51.0,+8.874 2:13'45.284,1.165,,137.288,Race,3.0,2.0,
10,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,51.0,+9.576 2:13'45.986,0.702,,137.276,Race,3.0,1.0,
11,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,51.0,+10.254 2:13'46.664,0.678,,137.264,Race,4.0,,
12,V. Bottas  Mercedes,77,Mercedes,Mercedes,51.0,+11.264 2:13'47.674,1.010,,137.247,Race,3.0,,
13,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,51.0,+14.241 2:13'50.651,2.977,,137.196,Race,5.0,,
14,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,51.0,+14.315 2:13'50.725,0.074,,137.195,Race,6.0,,
15,L. Hamilton  Mercedes,44,Mercedes,Mercedes,51.0,+17.668 2:13'54.078,3.353,,137.137,Race,3.0,,
16,N. Latifi  Williams,6,Williams,Mercedes,51.0,+42.379 2:14'18.789,24.711,,136.717,Race,2.0,,
dnf,G. Russell  Williams,63,Williams,Mercedes,48.0,+3 Laps 1:33'22.206,3 Laps,,185.095,Race,4.0,,Abandono
dnf,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,45.0,+6 Laps 1:25'35.564,3 Laps,,189.29,Race,1.0,,NeumÃ¡tico
dnf,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,29.0,+22 Laps 52'15.262,16 Laps,,199.772,Race,,,NeumÃ¡tico
dnf,E. Ocon  Alpine,31,Alpine,Renault,3.0,+48 Laps 6'01.705,26 Laps,,178.205,Race,1.0,,Unidad de Potencia
