Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
1,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,12.0,1'31.394,,,213.178,FP1,,,
2,V. Bottas  Mercedes,77,Mercedes,Mercedes,17.0,+0.298 1'31.692,0.298,,212.485,FP1,,,
3,L. Norris  McLaren F1,4,McLaren,Mercedes,20.0,+0.503 1'31.897,0.205,,212.011,FP1,,,
4,L. Hamilton  Mercedes,44,Mercedes,Mercedes,15.0,+0.527 1'31.921,0.024,,211.955,FP1,,,
5,C. Leclerc  Ferrari,16,Ferrari,Ferrari,14.0,+0.599 1'31.993,0.072,,211.79,FP1,,,
6,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,15.0,+0.677 1'32.071,0.078,,211.61,FP1,,,
7,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,23.0,+0.801 1'32.195,0.124,,211.325,FP1,,,
8,C. Sainz  Ferrari,55,Ferrari,Ferrari,15.0,+0.972 1'32.366,0.171,,210.934,FP1,,,
9,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,20.0,+1.040 1'32.434,0.068,,210.779,FP1,,,
10,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,16.0,+1.392 1'32.786,0.352,,209.979,FP1,,,
11,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,18.0,+1.740 1'33.134,0.348,,209.195,FP1,,,
12,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,21.0,+1.763 1'33.157,0.023,,209.143,FP1,,,
13,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,20.0,+1.839 1'33.233,0.076,,208.973,FP1,,,
14,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,21.0,+1.935 1'33.329,0.096,,208.758,FP1,,,
15,E. Ocon  Alpine,31,Alpine,Renault,20.0,+2.134 1'33.528,0.199,,208.314,FP1,,,
16,F. Alonso  Alpine,14,Alpine,Renault,18.0,+2.478 1'33.872,0.344,,207.55,FP1,,,
17,G. Russell  Williams,63,Williams,Mercedes,22.0,+2.733 1'34.127,0.255,,206.988,FP1,,,
18,N. Latifi  Williams,6,Williams,Mercedes,22.0,+2.946 1'34.340,0.213,,206.521,FP1,,,
19,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,16.0,+3.107 1'34.501,0.161,,206.169,FP1,,,
20,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,16.0,+3.581 1'34.975,0.474,,205.14,FP1,,,
1,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,23.0,1'30.847,,,214.461,FP2,,,
2,L. Norris  McLaren F1,4,McLaren,Mercedes,25.0,+0.095 1'30.942,0.095,,214.237,FP2,,,
3,L. Hamilton  Mercedes,44,Mercedes,Mercedes,24.0,+0.235 1'31.082,0.14,,213.908,FP2,,,
4,C. Sainz  Ferrari,55,Ferrari,Ferrari,26.0,+0.280 1'31.127,0.045,,213.802,FP2,,,
5,V. Bottas  Mercedes,77,Mercedes,Mercedes,23.0,+0.371 1'31.218,0.091,,213.589,FP2,,,
6,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,22.0,+0.383 1'31.230,0.012,,213.561,FP2,,,
7,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,23.0,+0.447 1'31.294,0.064,,213.411,FP2,,,
8,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,24.0,+0.546 1'31.393,0.099,,213.18,FP2,,,
9,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,27.0,+0.636 1'31.483,0.09,,212.97,FP2,,,
10,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,23.0,+0.656 1'31.503,0.02,,212.924,FP2,,,
11,E. Ocon  Alpine,31,Alpine,Renault,24.0,+0.754 1'31.601,0.098,,212.696,FP2,,,
12,C. Leclerc  Ferrari,16,Ferrari,Ferrari,26.0,+0.765 1'31.612,0.011,,212.67,FP2,,,
13,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,27.0,+0.893 1'31.740,0.128,,212.374,FP2,,,
14,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,26.0,+0.922 1'31.769,0.029,,212.306,FP2,,,
15,F. Alonso  Alpine,14,Alpine,Renault,24.0,+0.923 1'31.770,0.001,,212.304,FP2,,,
16,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,15.0,+1.015 1'31.862,0.092,,212.092,FP2,,,
17,G. Russell  Williams,63,Williams,Mercedes,28.0,+1.484 1'32.331,0.469,,211.014,FP2,,,
18,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,24.0,+2.450 1'33.297,0.966,,208.829,FP2,,,
19,N. Latifi  Williams,6,Williams,Mercedes,28.0,+2.553 1'33.400,0.103,,208.599,FP2,,,
20,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,19.0,+2.602 1'33.449,0.049,,208.49,FP2,,,
1,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,11.0,1'30.577,,,215.1,FP3,,,
2,L. Hamilton  Mercedes,44,Mercedes,Mercedes,14.0,+0.739 1'31.316,0.739,,213.36,FP3,,,
3,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,13.0,+1.006 1'31.583,0.267,,212.738,FP3,,,
4,V. Bottas  Mercedes,77,Mercedes,Mercedes,16.0,+1.278 1'31.855,0.272,,212.108,FP3,,,
5,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,11.0,+1.331 1'31.908,0.053,,211.985,FP3,,,
6,C. Sainz  Ferrari,55,Ferrari,Ferrari,16.0,+1.531 1'32.108,0.2,,211.525,FP3,,,
7,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,15.0,+1.647 1'32.224,0.116,,211.259,FP3,,,
8,E. Ocon  Alpine,31,Alpine,Renault,11.0,+1.846 1'32.423,0.199,,210.804,FP3,,,
9,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,13.0,+1.854 1'32.431,0.008,,210.786,FP3,,,
10,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,12.0,+1.900 1'32.477,0.046,,210.681,FP3,,,
