Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
1,V. Bottas  Mercedes,77,Mercedes,Mercedes,18.0,1'45.199,,,239.682,FP1,,,
2,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,14.0,+0.164 1'45.363,0.164,,239.309,FP1,,,
3,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,20.0,+0.500 1'45.699,0.336,,238.549,FP1,,,
4,C. Leclerc  Ferrari,16,Ferrari,Ferrari,19.0,+0.619 1'45.818,0.119,,238.28,FP1,,,
5,C. Sainz  Ferrari,55,Ferrari,Ferrari,20.0,+0.736 1'45.935,0.117,,238.017,FP1,,,
6,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,17.0,+0.928 1'46.127,0.192,,237.587,FP1,,,
7,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,19.0,+0.978 1'46.177,0.05,,237.475,FP1,,,
8,L. Norris  McLaren F1,4,McLaren,Mercedes,17.0,+1.137 1'46.336,0.159,,237.12,FP1,,,
9,E. Ocon  Alpine,31,Alpine,Renault,16.0,+1.298 1'46.497,0.161,,236.761,FP1,,,
10,F. Alonso  Alpine,14,Alpine,Renault,16.0,+1.413 1'46.612,0.115,,236.506,FP1,,,
11,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,19.0,+1.450 1'46.649,0.037,,236.424,FP1,,,
12,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,20.0,+1.484 1'46.683,0.034,,236.348,FP1,,,
13,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,17.0,+1.556 1'46.755,0.072,,236.189,FP1,,,
14,G. Russell  Williams,63,Williams,Mercedes,19.0,+1.573 1'46.772,0.017,,236.151,FP1,,,
15,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,19.0,+1.729 1'46.928,0.156,,235.807,FP1,,,
16,N. Latifi  Williams,6,Williams,Mercedes,20.0,+1.902 1'47.101,0.173,,235.426,FP1,,,
17,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,15.0,+2.926 1'48.125,1.024,,233.196,FP1,,,
18,L. Hamilton  Mercedes,44,Mercedes,Mercedes,17.0,+3.025 1'48.224,0.099,,232.983,FP1,,,
19,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,16.0,+3.506 1'48.705,0.481,,231.952,FP1,,,
20,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,15.0,+3.860 1'49.059,0.354,,231.199,FP1,,,
1,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,12.0,1'44.472,,,241.35,FP2,,,
2,V. Bottas  Mercedes,77,Mercedes,Mercedes,14.0,+0.041 1'44.513,0.041,,241.256,FP2,,,
3,L. Hamilton  Mercedes,44,Mercedes,Mercedes,13.0,+0.072 1'44.544,0.031,,241.184,FP2,,,
4,F. Alonso  Alpine,14,Alpine,Renault,15.0,+0.481 1'44.953,0.409,,240.244,FP2,,,
5,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,17.0,+0.493 1'44.965,0.012,,240.217,FP2,,,
6,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,14.0,+0.708 1'45.180,0.215,,239.726,FP2,,,
7,E. Ocon  Alpine,31,Alpine,Renault,15.0,+0.830 1'45.302,0.122,,239.448,FP2,,,
8,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,16.0,+0.864 1'45.336,0.034,,239.371,FP2,,,
9,L. Norris  McLaren F1,4,McLaren,Mercedes,18.0,+0.914 1'45.386,0.05,,239.257,FP2,,,
10,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,13.0,+0.932 1'45.404,0.018,,239.216,FP2,,,
11,C. Sainz  Ferrari,55,Ferrari,Ferrari,14.0,+1.045 1'45.517,0.113,,238.96,FP2,,,
12,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,17.0,+1.286 1'45.758,0.241,,238.416,FP2,,,
13,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,16.0,+1.317 1'45.789,0.031,,238.346,FP2,,,
14,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,18.0,+1.495 1'45.967,0.178,,237.945,FP2,,,
15,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,14.0,+1.646 1'46.118,0.151,,237.607,FP2,,,
16,N. Latifi  Williams,6,Williams,Mercedes,17.0,+1.726 1'46.198,0.08,,237.428,FP2,,,
17,G. Russell  Williams,63,Williams,Mercedes,14.0,+2.193 1'46.665,0.467,,236.388,FP2,,,
18,C. Leclerc  Ferrari,16,Ferrari,Ferrari,13.0,+2.364 1'46.836,0.171,,236.01,FP2,,,
19,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,14.0,+2.863 1'47.335,0.499,,234.913,FP2,,,
20,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,15.0,+3.057 1'47.529,0.194,,234.489,FP2,,,
1,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,10.0,1'56.924,,,215.647,FP3,,,
2,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,7.0,+0.947 1'57.871,0.947,,213.915,FP3,,,
3,L. Hamilton  Mercedes,44,Mercedes,Mercedes,9.0,+1.072 1'57.996,0.125,,213.688,FP3,,,
4,L. Norris  McLaren F1,4,McLaren,Mercedes,11.0,+1.585 1'58.509,0.513,,212.763,FP3,,,
5,E. Ocon  Alpine,31,Alpine,Renault,15.0,+1.989 1'58.913,0.404,,212.04,FP3,,,
6,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,16.0,+2.281 1'59.205,0.292,,211.521,FP3,,,
7,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,14.0,+2.400 1'59.324,0.119,,211.31,FP3,,,
8,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,15.0,+2.512 1'59.436,0.112,,211.112,FP3,,,
9,G. Russell  Williams,63,Williams,Mercedes,9.0,+2.568 1'59.492,0.056,,211.013,FP3,,,
10,F. Alonso  Alpine,14,Alpine,Renault,16.0,+2.689 1'59.613,0.121,,210.799,FP3,,,
11,V. Bottas  Mercedes,77,Mercedes,Mercedes,14.0,+2.884 1'59.808,0.195,,210.456,FP3,,,
12,N. Latifi  Williams,6,Williams,Mercedes,11.0,+3.057 1'59.981,0.173,,210.153,FP3,,,
13,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,13.0,+3.532 2'00.456,0.475,,209.324,FP3,,,
14,C. Sainz  Ferrari,55,Ferrari,Ferrari,17.0,+3.825 2'00.749,0.293,,208.816,FP3,,,
15,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,18.0,+4.345 2'01.269,0.52,,207.921,FP3,,,
16,C. Leclerc  Ferrari,16,Ferrari,Ferrari,14.0,+4.446 2'01.370,0.101,,207.748,FP3,,,
17,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,20.0,+4.586 2'01.510,0.14,,207.508,FP3,,,
18,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,20.0,+4.588 2'01.512,0.002,,207.505,FP3,,,
19,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,19.0,+4.868 2'01.792,0.28,,207.028,FP3,,,
20,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,3.0,+7.458 2'04.382,2.59,,202.717,FP3,,,
1,L. Norris  McLaren F1,4,McLaren,Mercedes,9.0,1'58.301,,,213.137,Q1,,,
2,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,8.0,+0.416 1'58.717,0.416,,212.39,Q1,,,
