Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
1,L. Hamilton  Mercedes,44,Mercedes,Mercedes,31.0,1'09.050,,,224.654,FP1,,,
2,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,22.0,+0.367 1'09.417,0.367,,223.466,FP1,,,
3,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,28.0,+0.442 1'09.492,0.075,,223.225,FP1,,,
4,V. Bottas  Mercedes,77,Mercedes,Mercedes,30.0,+0.517 1'09.567,0.075,,222.985,FP1,,,
5,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,32.0,+0.830 1'09.880,0.313,,221.986,FP1,,,
6,C. Sainz  Ferrari,55,Ferrari,Ferrari,31.0,+1.074 1'10.124,0.244,,221.213,FP1,,,
7,C. Leclerc  Ferrari,16,Ferrari,Ferrari,32.0,+1.092 1'10.142,0.018,,221.157,FP1,,,
8,E. Ocon  Alpine,31,Alpine,Renault,27.0,+1.095 1'10.145,0.003,,221.147,FP1,,,
9,F. Alonso  Alpine,14,Alpine,Renault,26.0,+1.151 1'10.201,0.056,,220.971,FP1,,,
10,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,27.0,+1.302 1'10.352,0.151,,220.496,FP1,,,
11,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,33.0,+1.324 1'10.374,0.022,,220.427,FP1,,,
12,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,28.0,+1.363 1'10.413,0.039,,220.305,FP1,,,
13,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,31.0,+1.393 1'10.443,0.03,,220.212,FP1,,,
14,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,31.0,+1.537 1'10.587,0.144,,219.762,FP1,,,
15,L. Norris  McLaren F1,4,McLaren,Mercedes,27.0,+1.560 1'10.610,0.023,,219.691,FP1,,,
