Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
1,V. Bottas  Mercedes,77,Mercedes,Mercedes,23.0,1'16.564,,,230.818,FP1,,,
2,L. Hamilton  Mercedes,44,Mercedes,Mercedes,25.0,+0.041 1'16.605,0.041,,230.695,FP1,,,
3,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,21.0,+0.058 1'16.622,0.017,,230.643,FP1,,,
4,C. Leclerc  Ferrari,16,Ferrari,Ferrari,13.0,+0.232 1'16.796,0.174,,230.121,FP1,,,
5,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,21.0,+0.324 1'16.888,0.092,,229.846,FP1,,,
6,C. Sainz  Ferrari,55,Ferrari,Ferrari,26.0,+0.324 1'16.888,0.0,,229.846,FP1,,,
7,F. Alonso  Alpine,14,Alpine,Renault,23.0,+0.893 1'17.457,0.569,,228.157,FP1,,,
8,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,19.0,+0.925 1'17.489,0.032,,228.063,FP1,,,
9,N. Latifi  Williams,6,Williams,Mercedes,24.0,+1.175 1'17.739,0.25,,227.329,FP1,,,
10,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,23.0,+1.205 1'17.769,0.03,,227.242,FP1,,,
11,G. Russell  Williams,63,Williams,Mercedes,25.0,+1.302 1'17.866,0.097,,226.959,FP1,,,
12,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,16.0,+1.319 1'17.883,0.017,,226.909,FP1,,,
13,L. Norris  McLaren F1,4,McLaren,Mercedes,16.0,+1.371 1'17.935,0.052,,226.758,FP1,,,
14,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,23.0,+1.420 1'17.984,0.049,,226.615,FP1,,,
15,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,24.0,+1.494 1'18.058,0.074,,226.4,FP1,,,
16,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,15.0,+1.664 1'18.228,0.17,,225.908,FP1,,,
17,E. Ocon  Alpine,31,Alpine,Renault,20.0,+1.796 1'18.360,0.132,,225.528,FP1,,,
18,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,22.0,+2.259 1'18.823,0.463,,224.203,FP1,,,
19,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,18.0,+2.916 1'19.480,0.657,,222.35,FP1,,,
