Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
1,V. Bottas  Mercedes,77,Mercedes,Mercedes,25.0,1'18.504,,,213.466,FP1,,,
2,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,19.0,+0.033 1'18.537,0.033,,213.377,FP1,,,
3,L. Hamilton  Mercedes,44,Mercedes,Mercedes,22.0,+0.123 1'18.627,0.09,,213.132,FP1,,,
4,L. Norris  McLaren F1,4,McLaren,Mercedes,24.0,+0.440 1'18.944,0.317,,212.277,FP1,,,
5,C. Leclerc  Ferrari,16,Ferrari,Ferrari,25.0,+0.492 1'18.996,0.052,,212.137,FP1,,,
6,C. Sainz  Ferrari,55,Ferrari,Ferrari,22.0,+0.516 1'19.020,0.024,,212.072,FP1,,,
7,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,26.0,+0.558 1'19.062,0.042,,211.96,FP1,,,
8,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,24.0,+0.730 1'19.234,0.172,,211.5,FP1,,,
9,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,17.0,+0.845 1'19.349,0.115,,211.193,FP1,,,
10,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,25.0,+0.925 1'19.429,0.08,,210.98,FP1,,,
11,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,22.0,+1.165 1'19.669,0.24,,210.345,FP1,,,
12,E. Ocon  Alpine,31,Alpine,Renault,25.0,+1.177 1'19.681,0.012,,210.313,FP1,,,
13,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,23.0,+1.190 1'19.694,0.013,,210.279,FP1,,,
14,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,24.0,+1.228 1'19.732,0.038,,210.179,FP1,,,
15,F. Alonso  Alpine,14,Alpine,Renault,25.0,+1.446 1'19.950,0.218,,209.606,FP1,,,
16,N. Latifi  Williams,6,Williams,Mercedes,25.0,+1.766 1'20.270,0.32,,208.77,FP1,,,
17,R. Nissany  Williams,45,Williams,Mercedes,23.0,+2.196 1'20.700,0.43,,207.657,FP1,,,
18,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,23.0,+2.262 1'20.766,0.066,,207.488,FP1,,,
19,R. Kubica  Alfa Romeo,88,Alfa Romeo,Ferrari,13.0,+3.383 1'21.887,1.121,,204.647,FP1,,,
20,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,22.0,+3.472 1'21.976,0.089,,204.425,FP1,,,
1,L. Hamilton  Mercedes,44,Mercedes,Mercedes,32.0,1'18.170,,,214.378,FP2,,,
2,V. Bottas  Mercedes,77,Mercedes,Mercedes,31.0,+0.139 1'18.309,0.139,,213.998,FP2,,,
3,C. Leclerc  Ferrari,16,Ferrari,Ferrari,28.0,+0.165 1'18.335,0.026,,213.927,FP2,,,
4,E. Ocon  Alpine,31,Alpine,Renault,29.0,+0.296 1'18.466,0.131,,213.57,FP2,,,
5,F. Alonso  Alpine,14,Alpine,Renault,30.0,+0.348 1'18.518,0.052,,213.428,FP2,,,
6,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,32.0,+0.423 1'18.593,0.075,,213.225,FP2,,,
7,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,30.0,+0.449 1'18.619,0.026,,213.154,FP2,,,
8,C. Sainz  Ferrari,55,Ferrari,Ferrari,30.0,+0.504 1'18.674,0.055,,213.005,FP2,,,
9,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,26.0,+0.615 1'18.785,0.111,,212.705,FP2,,,
10,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,23.0,+0.748 1'18.918,0.133,,212.346,FP2,,,
11,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,30.0,+0.777 1'18.947,0.029,,212.268,FP2,,,
12,L. Norris  McLaren F1,4,McLaren,Mercedes,28.0,+0.922 1'19.092,0.145,,211.879,FP2,,,
13,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,29.0,+0.952 1'19.122,0.03,,211.799,FP2,,,
14,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,29.0,+0.964 1'19.134,0.012,,211.767,FP2,,,
15,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,28.0,+1.025 1'19.195,0.061,,211.604,FP2,,,
