Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
1,V. Bottas  Mercedes,77,Mercedes,Mercedes,24.0,1'33.448,,,225.057,FP1,,,
2,L. Hamilton  Mercedes,44,Mercedes,Mercedes,21.0,+0.335 1'33.783,0.335,,224.253,FP1,,,
3,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,23.0,+0.432 1'33.880,0.097,,224.022,FP1,,,
4,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,25.0,+0.745 1'34.193,0.313,,223.277,FP1,,,
5,E. Ocon  Alpine,31,Alpine,Renault,25.0,+0.881 1'34.329,0.136,,222.955,FP1,,,
6,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,24.0,+1.196 1'34.644,0.315,,222.213,FP1,,,
7,F. Alonso  Alpine,14,Alpine,Renault,21.0,+1.245 1'34.693,0.049,,222.098,FP1,,,
8,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,20.0,+1.251 1'34.699,0.006,,222.084,FP1,,,
9,L. Norris  McLaren F1,4,McLaren,Mercedes,21.0,+1.259 1'34.707,0.008,,222.065,FP1,,,
10,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,22.0,+1.399 1'34.847,0.14,,221.738,FP1,,,
11,C. Leclerc  Ferrari,16,Ferrari,Ferrari,24.0,+1.502 1'34.950,0.103,,221.497,FP1,,,
12,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,23.0,+1.668 1'35.116,0.166,,221.111,FP1,,,
13,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,20.0,+1.687 1'35.135,0.019,,221.066,FP1,,,
14,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,23.0,+1.827 1'35.275,0.14,,220.742,FP1,,,
15,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,16.0,+1.841 1'35.289,0.014,,220.709,FP1,,,
16,C. Sainz  Ferrari,55,Ferrari,Ferrari,24.0,+1.894 1'35.342,0.053,,220.586,FP1,,,
17,N. Latifi  Williams,6,Williams,Mercedes,22.0,+2.164 1'35.612,0.27,,219.964,FP1,,,
18,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,24.0,+3.203 1'36.651,1.039,,217.599,FP1,,,
19,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,14.0,+3.881 1'37.329,0.678,,216.083,FP1,,,
