Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
1,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,23.0,1'27.035,,,243.667,FP1,,,
2,L. Norris  McLaren F1,4,McLaren,Mercedes,26.0,+0.779 1'27.814,0.779,,241.505,FP1,,,
3,L. Hamilton  Mercedes,44,Mercedes,Mercedes,30.0,+0.780 1'27.815,0.001,,241.503,FP1,,,
4,C. Leclerc  Ferrari,16,Ferrari,Ferrari,26.0,+0.793 1'27.828,0.013,,241.467,FP1,,,
5,V. Bottas  Mercedes,77,Mercedes,Mercedes,30.0,+0.862 1'27.897,0.069,,241.277,FP1,,,
6,C. Sainz  Ferrari,55,Ferrari,Ferrari,25.0,+0.888 1'27.923,0.026,,241.206,FP1,,,
7,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,23.0,+1.027 1'28.062,0.139,,240.825,FP1,,,
8,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,25.0,+1.128 1'28.163,0.101,,240.549,FP1,,,
9,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,28.0,+1.176 1'28.211,0.048,,240.418,FP1,,,
10,E. Ocon  Alpine,31,Alpine,Renault,24.0,+1.380 1'28.415,0.204,,239.864,FP1,,,
11,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,28.0,+1.414 1'28.449,0.034,,239.772,FP1,,,
12,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,29.0,+1.565 1'28.600,0.151,,239.363,FP1,,,
13,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,26.0,+1.792 1'28.827,0.227,,238.751,FP1,,,
14,F. Alonso  Alpine,14,Alpine,Renault,24.0,+1.838 1'28.873,0.046,,238.628,FP1,,,
15,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,27.0,+2.185 1'29.220,0.347,,237.7,FP1,,,
16,N. Latifi  Williams,6,Williams,Mercedes,27.0,+2.192 1'29.227,0.007,,237.681,FP1,,,
17,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,24.0,+2.192 1'29.227,0.0,,237.681,FP1,,,
18,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,21.0,+2.562 1'29.597,0.37,,236.699,FP1,,,
19,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,23.0,+2.773 1'29.808,0.211,,236.143,FP1,,,
20,G. Russell  Williams,63,Williams,Mercedes,29.0,+2.822 1'29.857,0.049,,236.015,FP1,,,
1,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,23.0,1'29.902,,,235.896,FP2,,,
