Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
1,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,21.0,1'17.555,,,203.36,FP1,,,
2,V. Bottas  Mercedes,77,Mercedes,Mercedes,26.0,+0.061 1'17.616,0.061,,203.2,FP1,,,
3,L. Hamilton  Mercedes,44,Mercedes,Mercedes,25.0,+0.167 1'17.722,0.106,,202.923,FP1,,,
4,C. Sainz  Ferrari,55,Ferrari,Ferrari,24.0,+0.560 1'18.115,0.393,,201.902,FP1,,,
5,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,27.0,+0.626 1'18.181,0.066,,201.731,FP1,,,
6,F. Alonso  Alpine,14,Alpine,Renault,26.0,+0.830 1'18.385,0.204,,201.206,FP1,,,
7,C. Leclerc  Ferrari,16,Ferrari,Ferrari,23.0,+0.836 1'18.391,0.006,,201.191,FP1,,,
8,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,20.0,+0.911 1'18.466,0.075,,200.999,FP1,,,
9,L. Norris  McLaren F1,4,McLaren,Mercedes,26.0,+1.094 1'18.649,0.183,,200.531,FP1,,,
10,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,25.0,+1.200 1'18.755,0.106,,200.261,FP1,,,
11,E. Ocon  Alpine,31,Alpine,Renault,26.0,+1.210 1'18.765,0.01,,200.236,FP1,,,
12,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,18.0,+1.215 1'18.770,0.005,,200.223,FP1,,,
13,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,22.0,+1.434 1'18.989,0.219,,199.668,FP1,,,
14,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,27.0,+1.710 1'19.265,0.276,,198.973,FP1,,,
15,G. Russell  Williams,63,Williams,Mercedes,24.0,+2.169 1'19.724,0.459,,197.827,FP1,,,
16,N. Latifi  Williams,6,Williams,Mercedes,24.0,+2.269 1'19.824,0.1,,197.579,FP1,,,
17,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,26.0,+2.828 1'20.383,0.559,,196.205,FP1,,,
18,R. Kubica  Alfa Romeo,88,Alfa Romeo,Ferrari,23.0,+3.084 1'20.639,0.256,,195.582,FP1,,,
19,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,23.0,+3.437 1'20.992,0.353,,194.73,FP1,,,
20,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,5.0,+4.334 1'21.889,0.897,,192.597,FP1,,,
1,V. Bottas  Mercedes,77,Mercedes,Mercedes,29.0,1'17.012,,,204.794,FP2,,,
2,L. Hamilton  Mercedes,44,Mercedes,Mercedes,27.0,+0.027 1'17.039,0.027,,204.722,FP2,,,
3,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,24.0,+0.298 1'17.310,0.271,,204.004,FP2,,,
4,E. Ocon  Alpine,31,Alpine,Renault,29.0,+0.747 1'17.759,0.449,,202.826,FP2,,,
5,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,23.0,+0.812 1'17.824,0.065,,202.657,FP2,,,
6,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,31.0,+1.101 1'18.113,0.289,,201.907,FP2,,,
7,F. Alonso  Alpine,14,Alpine,Renault,27.0,+1.157 1'18.169,0.056,,201.762,FP2,,,
8,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,31.0,+1.216 1'18.228,0.059,,201.61,FP2,,,
9,L. Norris  McLaren F1,4,McLaren,Mercedes,25.0,+1.301 1'18.313,0.085,,201.391,FP2,,,
10,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,30.0,+1.308 1'18.320,0.007,,201.373,FP2,,,
11,C. Leclerc  Ferrari,16,Ferrari,Ferrari,30.0,+1.358 1'18.370,0.05,,201.245,FP2,,,
12,C. Sainz  Ferrari,55,Ferrari,Ferrari,32.0,+1.429 1'18.441,0.071,,201.063,FP2,,,
