Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
1,L. Hamilton  Mercedes,44,Mercedes,Mercedes,28.0,1'20.926,,,257.702,FP1,,,
2,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,22.0,+0.452 1'21.378,0.452,,256.27,FP1,,,
3,V. Bottas  Mercedes,77,Mercedes,Mercedes,29.0,+0.525 1'21.451,0.073,,256.041,FP1,,,
4,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,23.0,+0.750 1'21.676,0.225,,255.335,FP1,,,
5,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,28.0,+0.793 1'21.719,0.043,,255.201,FP1,,,
6,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,26.0,+0.898 1'21.824,0.105,,254.873,FP1,,,
7,C. Sainz  Ferrari,55,Ferrari,Ferrari,26.0,+0.988 1'21.914,0.09,,254.593,FP1,,,
8,F. Alonso  Alpine,14,Alpine,Renault,24.0,+1.000 1'21.926,0.012,,254.556,FP1,,,
9,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,27.0,+1.077 1'22.003,0.077,,254.317,FP1,,,
10,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,23.0,+1.113 1'22.039,0.036,,254.205,FP1,,,
11,C. Leclerc  Ferrari,16,Ferrari,Ferrari,25.0,+1.176 1'22.102,0.063,,254.01,FP1,,,
12,L. Norris  McLaren F1,4,McLaren,Mercedes,27.0,+1.177 1'22.103,0.001,,254.007,FP1,,,
13,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,26.0,+1.344 1'22.270,0.167,,253.492,FP1,,,
14,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,31.0,+1.604 1'22.530,0.26,,252.693,FP1,,,
15,E. Ocon  Alpine,31,Alpine,Renault,27.0,+1.608 1'22.534,0.004,,252.681,FP1,,,
16,R. Kubica  Alfa Romeo,88,Alfa Romeo,Ferrari,28.0,+2.083 1'23.009,0.475,,251.235,FP1,,,
17,G. Russell  Williams,63,Williams,Mercedes,31.0,+2.166 1'23.092,0.083,,250.984,FP1,,,
18,N. Latifi  Williams,6,Williams,Mercedes,30.0,+2.516 1'23.442,0.35,,249.931,FP1,,,
19,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,23.0,+2.519 1'23.445,0.003,,249.922,FP1,,,
20,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,23.0,+2.625 1'23.551,0.106,,249.605,FP1,,,
1,L. Hamilton  Mercedes,44,Mercedes,Mercedes,25.0,1'23.246,,,250.52,FP2,,,
2,V. Bottas  Mercedes,77,Mercedes,Mercedes,24.0,+0.222 1'23.468,0.222,,249.853,FP2,,,
3,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,23.0,+0.416 1'23.662,0.194,,249.274,FP2,,,
4,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,29.0,+0.671 1'23.917,0.255,,248.516,FP2,,,
5,E. Ocon  Alpine,31,Alpine,Renault,20.0,+1.017 1'24.263,0.346,,247.496,FP2,,,
6,R. Kubica  Alfa Romeo,88,Alfa Romeo,Ferrari,28.0,+1.034 1'24.280,0.017,,247.446,FP2,,,
7,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,26.0,+1.256 1'24.502,0.222,,246.796,FP2,,,
8,F. Alonso  Alpine,14,Alpine,Renault,16.0,+1.293 1'24.539,0.037,,246.688,FP2,,,
9,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,24.0,+1.408 1'24.654,0.115,,246.353,FP2,,,
10,L. Norris  McLaren F1,4,McLaren,Mercedes,27.0,+1.419 1'24.665,0.011,,246.321,FP2,,,
11,C. Leclerc  Ferrari,16,Ferrari,Ferrari,21.0,+1.524 1'24.770,0.105,,246.016,FP2,,,
12,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,24.0,+1.528 1'24.774,0.004,,246.004,FP2,,,
13,N. Latifi  Williams,6,Williams,Mercedes,23.0,+1.559 1'24.805,0.031,,245.914,FP2,,,
14,G. Russell  Williams,63,Williams,Mercedes,22.0,+1.837 1'25.083,0.278,,245.111,FP2,,,
15,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,32.0,+2.176 1'25.422,0.339,,244.138,FP2,,,
16,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,23.0,+2.483 1'25.729,0.307,,243.264,FP2,,,
17,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,28.0,+2.517 1'25.763,0.034,,243.167,FP2,,,
18,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,28.0,+2.689 1'25.935,0.172,,242.681,FP2,,,
19,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,25.0,+2.766 1'26.012,0.077,,242.463,FP2,,,
20,C. Sainz  Ferrari,55,Ferrari,Ferrari,14.0,+2.878 1'26.124,0.112,,242.148,FP2,,,
1,L. Hamilton  Mercedes,44,Mercedes,Mercedes,6.0,1'20.543,,,258.927,Q1,,,
2,V. Bottas  Mercedes,77,Mercedes,Mercedes,6.0,+0.142 1'20.685,0.142,,258.471,Q1,,,
3,L. Norris  McLaren F1,4,McLaren,Mercedes,9.0,+0.373 1'20.916,0.231,,257.733,Q1,,,
4,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,7.0,+0.492 1'21.035,0.119,,257.355,Q1,,,
5,C. Sainz  Ferrari,55,Ferrari,Ferrari,6.0,+0.575 1'21.118,0.083,,257.092,Q1,,,
6,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,7.0,+0.654 1'21.197,0.079,,256.842,Q1,,,
7,C. Leclerc  Ferrari,16,Ferrari,Ferrari,6.0,+0.676 1'21.219,0.022,,256.772,Q1,,,
8,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,5.0,+0.749 1'21.292,0.073,,256.541,Q1,,,
9,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,8.0,+0.765 1'21.308,0.016,,256.491,Q1,,,
10,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,8.0,+0.851 1'21.394,0.086,,256.22,Q1,,,
11,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,7.0,+0.872 1'21.415,0.021,,256.154,Q1,,,
12,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,4.0,+0.897 1'21.440,0.025,,256.075,Q1,,,
13,F. Alonso  Alpine,14,Alpine,Renault,6.0,+0.944 1'21.487,0.047,,255.927,Q1,,,
14,E. Ocon  Alpine,31,Alpine,Renault,6.0,+0.957 1'21.500,0.013,,255.887,Q1,,,
15,G. Russell  Williams,63,Williams,Mercedes,10.0,+1.347 1'21.890,0.39,,254.668,Q1,,,
16,N. Latifi  Williams,6,Williams,Mercedes,10.0,+1.382 1'21.925,0.035,,254.559,Q1,,,
17,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,9.0,+1.430 1'21.973,0.048,,254.41,Q1,,,
18,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,8.0,+1.705 1'22.248,0.275,,253.559,Q1,,,
19,R. Kubica  Alfa Romeo,88,Alfa Romeo,Ferrari,7.0,+1.987 1'22.530,0.282,,252.693,Q1,,,
20,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,9.0,+2.173 1'22.716,0.186,,252.125,Q1,,,
1,L. Hamilton  Mercedes,44,Mercedes,Mercedes,12.0,1'19.936,,,260.893,Q2,,,
2,V. Bottas  Mercedes,77,Mercedes,Mercedes,12.0,+0.096 1'20.032,0.096,,260.58,Q2,,,
3,L. Norris  McLaren F1,4,McLaren,Mercedes,15.0,+0.123 1'20.059,0.027,,260.492,Q2,,,
4,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,13.0,+0.293 1'20.229,0.17,,259.94,Q2,,,
5,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,11.0,+0.499 1'20.435,0.206,,259.275,Q2,,,
6,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,10.0,+0.620 1'20.556,0.121,,258.885,Q2,,,
7,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,13.0,+0.790 1'20.726,0.17,,258.34,Q2,,,
