Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
1,V. Bottas  Mercedes,77,Mercedes,Mercedes,28.0,1'18.341,,,197.781,FP1,,,
2,L. Hamilton  Mercedes,44,Mercedes,Mercedes,24.0,+0.076 1'18.417,0.076,,197.589,FP1,,,
3,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,28.0,+0.123 1'18.464,0.047,,197.471,FP1,,,
4,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,20.0,+0.269 1'18.610,0.146,,197.104,FP1,,,
5,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,23.0,+0.644 1'18.985,0.375,,196.168,FP1,,,
6,C. Sainz  Ferrari,55,Ferrari,Ferrari,26.0,+1.122 1'19.463,0.478,,194.988,FP1,,,
7,F. Alonso  Alpine,14,Alpine,Renault,26.0,+1.315 1'19.656,0.193,,194.516,FP1,,,
8,C. Leclerc  Ferrari,16,Ferrari,Ferrari,20.0,+1.326 1'19.667,0.011,,194.489,FP1,,,
9,E. Ocon  Alpine,31,Alpine,Renault,20.0,+1.418 1'19.759,0.092,,194.265,FP1,,,
10,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,27.0,+1.517 1'19.858,0.099,,194.024,FP1,,,
11,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,30.0,+1.670 1'20.011,0.153,,193.653,FP1,,,
12,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,26.0,+1.685 1'20.026,0.015,,193.617,FP1,,,
13,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,27.0,+1.689 1'20.030,0.004,,193.607,FP1,,,
14,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,25.0,+1.932 1'20.273,0.243,,193.021,FP1,,,
15,L. Norris  McLaren F1,4,McLaren,Mercedes,26.0,+1.960 1'20.301,0.028,,192.954,FP1,,,
16,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,27.0,+2.003 1'20.344,0.043,,192.85,FP1,,,
17,G. Russell  Williams,63,Williams,Mercedes,23.0,+2.176 1'20.517,0.173,,192.436,FP1,,,
18,N. Latifi  Williams,6,Williams,Mercedes,23.0,+3.239 1'21.580,1.063,,189.928,FP1,,,
19,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,27.0,+3.803 1'22.144,0.564,,188.624,FP1,,,
20,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,24.0,+4.478 1'22.819,0.675,,187.087,FP1,,,
1,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,28.0,1'17.301,,,200.442,FP2,,,
2,V. Bottas  Mercedes,77,Mercedes,Mercedes,31.0,+0.424 1'17.725,0.424,,199.348,FP2,,,
3,L. Hamilton  Mercedes,44,Mercedes,Mercedes,26.0,+0.509 1'17.810,0.085,,199.131,FP2,,,
4,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,26.0,+0.570 1'17.871,0.061,,198.975,FP2,,,
5,C. Sainz  Ferrari,55,Ferrari,Ferrari,29.0,+1.017 1'18.318,0.447,,197.839,FP2,,,
6,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,29.0,+1.128 1'18.429,0.111,,197.559,FP2,,,
7,C. Leclerc  Ferrari,16,Ferrari,Ferrari,28.0,+1.304 1'18.605,0.176,,197.117,FP2,,,
8,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,31.0,+1.343 1'18.644,0.039,,197.019,FP2,,,
9,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,32.0,+1.380 1'18.681,0.037,,196.926,FP2,,,
10,F. Alonso  Alpine,14,Alpine,Renault,27.0,+1.431 1'18.732,0.051,,196.799,FP2,,,
11,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,25.0,+1.540 1'18.841,0.109,,196.527,FP2,,,
12,L. Norris  McLaren F1,4,McLaren,Mercedes,27.0,+1.678 1'18.979,0.138,,196.183,FP2,,,
13,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,31.0,+1.926 1'19.227,0.248,,195.569,FP2,,,
14,E. Ocon  Alpine,31,Alpine,Renault,37.0,+2.130 1'19.431,0.204,,195.067,FP2,,,
15,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,7.0,+2.220 1'19.521,0.09,,194.846,FP2,,,
16,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,30.0,+2.319 1'19.620,0.099,,194.604,FP2,,,
17,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,36.0,+2.429 1'19.730,0.11,,194.335,FP2,,,
18,N. Latifi  Williams,6,Williams,Mercedes,17.0,+3.519 1'20.820,1.09,,191.714,FP2,,,
19,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,28.0,+4.280 1'21.581,0.761,,189.926,FP2,,,
20,G. Russell  Williams,63,Williams,Mercedes,2.0,,,,,FP2,,,
1,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,15.0,1'17.024,,,201.163,FP3,,,
2,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,12.0,+0.193 1'17.217,0.193,,200.66,FP3,,,
3,L. Hamilton  Mercedes,44,Mercedes,Mercedes,14.0,+0.651 1'17.675,0.458,,199.477,FP3,,,
4,V. Bottas  Mercedes,77,Mercedes,Mercedes,17.0,+0.684 1'17.708,0.033,,199.392,FP3,,,
5,C. Sainz  Ferrari,55,Ferrari,Ferrari,20.0,+1.005 1'18.029,0.321,,198.572,FP3,,,
6,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,25.0,+1.013 1'18.037,0.008,,198.551,FP3,,,
7,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,15.0,+1.097 1'18.121,0.084,,198.338,FP3,,,
8,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,18.0,+1.178 1'18.202,0.081,,198.133,FP3,,,
9,C. Leclerc  Ferrari,16,Ferrari,Ferrari,20.0,+1.189 1'18.213,0.011,,198.105,FP3,,,
10,L. Norris  McLaren F1,4,McLaren,Mercedes,16.0,+1.288 1'18.312,0.099,,197.854,FP3,,,
11,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,20.0,+1.328 1'18.352,0.04,,197.753,FP3,,,
12,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,22.0,+1.507 1'18.531,0.179,,197.302,FP3,,,
13,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,19.0,+1.532 1'18.556,0.025,,197.24,FP3,,,
14,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,17.0,+1.590 1'18.614,0.058,,197.094,FP3,,,
15,F. Alonso  Alpine,14,Alpine,Renault,15.0,+1.823 1'18.847,0.233,,196.512,FP3,,,
16,E. Ocon  Alpine,31,Alpine,Renault,17.0,+1.975 1'18.999,0.152,,196.134,FP3,,,
17,G. Russell  Williams,63,Williams,Mercedes,19.0,+2.187 1'19.211,0.212,,195.609,FP3,,,
18,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,14.0,+2.214 1'19.238,0.027,,195.542,FP3,,,
19,N. Latifi  Williams,6,Williams,Mercedes,12.0,+2.289 1'19.313,0.075,,195.357,FP3,,,
20,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,15.0,+3.455 1'20.479,1.166,,192.527,FP3,,,
1,V. Bottas  Mercedes,77,Mercedes,Mercedes,9.0,1'16.727,,,201.941,Q1,,,
2,C. Leclerc  Ferrari,16,Ferrari,Ferrari,9.0,+0.021 1'16.748,0.021,,201.886,Q1,,,
3,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,5.0,+0.061 1'16.788,0.04,,201.781,Q1,,,
4,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,8.0,+0.181 1'16.908,0.12,,201.466,Q1,,,
5,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,8.0,+0.276 1'17.003,0.095,,201.218,Q1,,,
6,L. Hamilton  Mercedes,44,Mercedes,Mercedes,8.0,+0.480 1'17.207,0.204,,200.686,Q1,,,
7,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,8.0,+0.603 1'17.330,0.123,,200.367,Q1,,,
8,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,9.0,+0.775 1'17.502,0.172,,199.922,Q1,,,
9,C. Sainz  Ferrari,55,Ferrari,Ferrari,9.0,+0.790 1'17.517,0.015,,199.883,Q1,,,
10,L. Norris  McLaren F1,4,McLaren,Mercedes,7.0,+0.842 1'17.569,0.052,,199.749,Q1,,,
11,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,10.0,+0.879 1'17.606,0.037,,199.654,Q1,,,
12,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,6.0,+0.992 1'17.719,0.113,,199.364,Q1,,,
13,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,9.0,+1.170 1'17.897,0.178,,198.908,Q1,,,
14,G. Russell  Williams,63,Williams,Mercedes,7.0,+1.231 1'17.958,0.061,,198.753,Q1,,,
15,E. Ocon  Alpine,31,Alpine,Renault,7.0,+1.399 1'18.126,0.168,,198.325,Q1,,,
16,F. Alonso  Alpine,14,Alpine,Renault,7.0,+1.725 1'18.452,0.326,,197.501,Q1,,,
17,N. Latifi  Williams,6,Williams,Mercedes,8.0,+2.029 1'18.756,0.304,,196.739,Q1,,,
18,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,9.0,+2.131 1'18.858,0.102,,196.484,Q1,,,
19,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,9.0,+2.576 1'19.303,0.445,,195.382,Q1,,,
20,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,3.0,+4.146 1'20.873,1.57,,191.589,Q1,,,
1,L. Hamilton  Mercedes,44,Mercedes,Mercedes,7.0,1'16.474,,,202.61,Q2,,,
2,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,6.0,+0.009 1'16.483,0.009,,202.586,Q2,,,
3,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,5.0,+0.227 1'16.701,0.218,,202.01,Q2,,,
