Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
1,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,36.0,1'12.487,,,165.729,FP1,,,
2,C. Sainz  Ferrari,55,Ferrari,Ferrari,32.0,+0.119 1'12.606,0.119,,165.457,FP1,,,
3,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,39.0,+0.161 1'12.648,0.042,,165.361,FP1,,,
4,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,37.0,+0.442 1'12.929,0.281,,164.724,FP1,,,
5,L. Hamilton  Mercedes,44,Mercedes,Mercedes,34.0,+0.508 1'12.995,0.066,,164.575,FP1,,,
6,V. Bottas  Mercedes,77,Mercedes,Mercedes,36.0,+0.644 1'13.131,0.136,,164.269,FP1,,,
7,L. Norris  McLaren F1,4,McLaren,Mercedes,31.0,+0.749 1'13.236,0.105,,164.034,FP1,,,
8,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,33.0,+1.245 1'13.732,0.496,,162.93,FP1,,,
9,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,39.0,+1.259 1'13.746,0.014,,162.899,FP1,,,
10,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,31.0,+1.594 1'14.081,0.335,,162.163,FP1,,,
11,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,33.0,+1.603 1'14.090,0.009,,162.143,FP1,,,
12,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,27.0,+1.619 1'14.106,0.016,,162.108,FP1,,,
13,F. Alonso  Alpine,14,Alpine,Renault,37.0,+1.718 1'14.205,0.099,,161.892,FP1,,,
14,N. Latifi  Williams,6,Williams,Mercedes,41.0,+1.781 1'14.268,0.063,,161.754,FP1,,,
15,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,36.0,+1.794 1'14.281,0.013,,161.726,FP1,,,
16,E. Ocon  Alpine,31,Alpine,Renault,37.0,+1.833 1'14.320,0.039,,161.641,FP1,,,
17,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,33.0,+2.129 1'14.616,0.296,,161.0,FP1,,,
18,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,35.0,+2.314 1'14.801,0.185,,160.602,FP1,,,
19,G. Russell  Williams,63,Williams,Mercedes,35.0,+2.353 1'14.840,0.039,,160.518,FP1,,,
20,C. Leclerc  Ferrari,16,Ferrari,Ferrari,4.0,+7.131 1'19.618,4.778,,150.885,FP1,,,
1,C. Leclerc  Ferrari,16,Ferrari,Ferrari,30.0,1'11.684,,,167.585,FP2,,,
2,C. Sainz  Ferrari,55,Ferrari,Ferrari,32.0,+0.112 1'11.796,0.112,,167.324,FP2,,,
3,L. Hamilton  Mercedes,44,Mercedes,Mercedes,28.0,+0.390 1'12.074,0.278,,166.678,FP2,,,
4,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,27.0,+0.397 1'12.081,0.007,,166.662,FP2,,,
5,V. Bottas  Mercedes,77,Mercedes,Mercedes,32.0,+0.423 1'12.107,0.026,,166.602,FP2,,,
6,L. Norris  McLaren F1,4,McLaren,Mercedes,24.0,+0.695 1'12.379,0.272,,165.976,FP2,,,
7,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,28.0,+0.814 1'12.498,0.119,,165.703,FP2,,,
8,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,24.0,+1.024 1'12.708,0.21,,165.225,FP2,,,
9,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,28.0,+1.062 1'12.746,0.038,,165.138,FP2,,,
10,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,26.0,+1.298 1'12.982,0.236,,164.604,FP2,,,
11,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,31.0,+1.381 1'13.065,0.083,,164.417,FP2,,,
12,F. Alonso  Alpine,14,Alpine,Renault,27.0,+1.491 1'13.175,0.11,,164.17,FP2,,,
13,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,26.0,+1.511 1'13.195,0.02,,164.125,FP2,,,
14,E. Ocon  Alpine,31,Alpine,Renault,28.0,+1.515 1'13.199,0.004,,164.116,FP2,,,
15,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,26.0,+1.573 1'13.257,0.058,,163.987,FP2,,,
16,G. Russell  Williams,63,Williams,Mercedes,32.0,+1.825 1'13.509,0.252,,163.424,FP2,,,
17,N. Latifi  Williams,6,Williams,Mercedes,31.0,+1.909 1'13.593,0.084,,163.238,FP2,,,
18,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,26.0,+2.723 1'14.407,0.814,,161.452,FP2,,,
19,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,25.0,+2.732 1'14.416,0.009,,161.433,FP2,,,
20,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,11.0,+3.145 1'14.829,0.413,,160.542,FP2,,,
1,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,19.0,1'11.294,,,168.502,FP3,,,
2,C. Sainz  Ferrari,55,Ferrari,Ferrari,28.0,+0.047 1'11.341,0.047,,168.391,FP3,,,
3,C. Leclerc  Ferrari,16,Ferrari,Ferrari,27.0,+0.258 1'11.552,0.211,,167.894,FP3,,,
4,V. Bottas  Mercedes,77,Mercedes,Mercedes,21.0,+0.471 1'11.765,0.213,,167.396,FP3,,,
5,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,18.0,+0.523 1'11.817,0.052,,167.275,FP3,,,
6,L. Norris  McLaren F1,4,McLaren,Mercedes,20.0,+0.694 1'11.988,0.171,,166.877,FP3,,,
7,L. Hamilton  Mercedes,44,Mercedes,Mercedes,20.0,+0.726 1'12.020,0.032,,166.803,FP3,,,
8,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,25.0,+1.004 1'12.298,0.278,,166.162,FP3,,,
9,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,28.0,+1.063 1'12.357,0.059,,166.026,FP3,,,
10,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,24.0,+1.243 1'12.537,0.18,,165.614,FP3,,,
11,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,21.0,+1.245 1'12.539,0.002,,165.61,FP3,,,
12,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,22.0,+1.406 1'12.700,0.161,,165.243,FP3,,,
13,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,25.0,+1.665 1'12.959,0.259,,164.656,FP3,,,
14,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,21.0,+1.845 1'13.139,0.18,,164.251,FP3,,,
15,F. Alonso  Alpine,14,Alpine,Renault,19.0,+2.035 1'13.329,0.19,,163.826,FP3,,,
