Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
1,L. Hamilton  Mercedes,44,Mercedes,Mercedes,17.0,1'11.500,,,214.439,FP1,,,
2,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,18.0,+0.097 1'11.597,0.097,,214.148,FP1,,,
3,C. Sainz  Ferrari,55,Ferrari,Ferrari,19.0,+0.101 1'11.601,0.004,,214.136,FP1,,,
4,C. Leclerc  Ferrari,16,Ferrari,Ferrari,18.0,+0.123 1'11.623,0.022,,214.07,FP1,,,
5,V. Bottas  Mercedes,77,Mercedes,Mercedes,18.0,+0.238 1'11.738,0.115,,213.727,FP1,,,
6,F. Alonso  Alpine,14,Alpine,Renault,18.0,+0.658 1'12.158,0.42,,212.483,FP1,,,
7,E. Ocon  Alpine,31,Alpine,Renault,17.0,+0.731 1'12.231,0.073,,212.268,FP1,,,
8,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,18.0,+0.859 1'12.359,0.128,,211.893,FP1,,,
9,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,18.0,+0.931 1'12.431,0.072,,211.682,FP1,,,
10,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,19.0,+1.015 1'12.515,0.084,,211.437,FP1,,,
11,L. Norris  McLaren F1,4,McLaren,Mercedes,18.0,+1.179 1'12.679,0.164,,210.96,FP1,,,
12,N. Latifi  Williams,6,Williams,Mercedes,16.0,+1.407 1'12.907,0.228,,210.3,FP1,,,
13,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,20.0,+1.553 1'13.053,0.146,,209.88,FP1,,,
14,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,18.0,+1.581 1'13.081,0.028,,209.8,FP1,,,
15,G. Russell  Williams,63,Williams,Mercedes,15.0,+1.681 1'13.181,0.1,,209.513,FP1,,,
16,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,18.0,+1.828 1'13.328,0.147,,209.093,FP1,,,
17,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,14.0,+2.016 1'13.516,0.188,,208.558,FP1,,,
18,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,17.0,+2.347 1'13.847,0.331,,207.623,FP1,,,
19,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,6.0,+4.484 1'15.984,2.137,,201.784,FP1,,,
20,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,3.0,,,,,FP1,,,
1,C. Leclerc  Ferrari,16,Ferrari,Ferrari,29.0,1'10.902,,,216.247,FP2,,,
2,C. Sainz  Ferrari,55,Ferrari,Ferrari,28.0,+0.154 1'11.056,0.154,,215.779,FP2,,,
3,E. Ocon  Alpine,31,Alpine,Renault,33.0,+0.172 1'11.074,0.018,,215.724,FP2,,,
4,V. Bottas  Mercedes,77,Mercedes,Mercedes,33.0,+0.230 1'11.132,0.058,,215.548,FP2,,,
5,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,28.0,+0.362 1'11.264,0.132,,215.149,FP2,,,
6,F. Alonso  Alpine,14,Alpine,Renault,30.0,+0.378 1'11.280,0.016,,215.101,FP2,,,
7,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,29.0,+0.560 1'11.462,0.182,,214.553,FP2,,,
8,L. Norris  McLaren F1,4,McLaren,Mercedes,27.0,+0.586 1'11.488,0.026,,214.475,FP2,,,
9,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,30.0,+0.776 1'11.678,0.19,,213.906,FP2,,,
10,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,24.0,+0.811 1'11.713,0.035,,213.802,FP2,,,
11,L. Hamilton  Mercedes,44,Mercedes,Mercedes,3.0,+1.009 1'11.911,0.198,,213.213,FP2,,,
12,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,27.0,+1.044 1'11.946,0.035,,213.109,FP2,,,
13,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,31.0,+1.194 1'12.096,0.15,,212.666,FP2,,,
14,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,29.0,+1.234 1'12.136,0.04,,212.548,FP2,,,
15,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,25.0,+1.255 1'12.157,0.021,,212.486,FP2,,,
16,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,31.0,+1.304 1'12.206,0.049,,212.342,FP2,,,
17,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,31.0,+1.705 1'12.607,0.401,,211.169,FP2,,,
18,N. Latifi  Williams,6,Williams,Mercedes,27.0,+1.708 1'12.610,0.003,,211.16,FP2,,,
19,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,12.0,+1.933 1'12.835,0.225,,210.508,FP2,,,
20,G. Russell  Williams,63,Williams,Mercedes,30.0,+1.953 1'12.855,0.02,,210.45,FP2,,,
1,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,13.0,1'09.623,,,220.22,FP3,,,
2,V. Bottas  Mercedes,77,Mercedes,Mercedes,17.0,+0.556 1'10.179,0.556,,218.475,FP3,,,
3,L. Hamilton  Mercedes,44,Mercedes,Mercedes,22.0,+0.794 1'10.417,0.238,,217.737,FP3,,,
4,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,20.0,+0.903 1'10.526,0.109,,217.4,FP3,,,
5,F. Alonso  Alpine,14,Alpine,Renault,16.0,+1.047 1'10.670,0.144,,216.957,FP3,,,
6,L. Norris  McLaren F1,4,McLaren,Mercedes,19.0,+1.158 1'10.781,0.111,,216.617,FP3,,,
7,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,19.0,+1.219 1'10.842,0.061,,216.43,FP3,,,
8,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,20.0,+1.249 1'10.872,0.03,,216.339,FP3,,,
9,C. Leclerc  Ferrari,16,Ferrari,Ferrari,20.0,+1.273 1'10.896,0.024,,216.266,FP3,,,
10,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,21.0,+1.382 1'11.005,0.109,,215.934,FP3,,,
11,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,19.0,+1.390 1'11.013,0.008,,215.909,FP3,,,
12,N. Latifi  Williams,6,Williams,Mercedes,19.0,+1.460 1'11.083,0.07,,215.697,FP3,,,
13,E. Ocon  Alpine,31,Alpine,Renault,23.0,+1.557 1'11.180,0.097,,215.403,FP3,,,
