Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
1,V. Bottas  Mercedes,77,Mercedes,Mercedes,31.0,1'19.648,,,210.31,FP1,,,
2,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,23.0,+0.025 1'19.673,0.025,,210.244,FP1,,,
3,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,22.0,+0.198 1'19.846,0.173,,209.788,FP1,,,
4,C. Leclerc  Ferrari,16,Ferrari,Ferrari,27.0,+0.236 1'19.884,0.038,,209.689,FP1,,,
5,L. Hamilton  Mercedes,44,Mercedes,Mercedes,32.0,+0.319 1'19.967,0.083,,209.471,FP1,,,
6,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,31.0,+0.796 1'20.444,0.477,,208.229,FP1,,,
7,G. Russell  Williams,63,Williams,Mercedes,29.0,+0.881 1'20.529,0.085,,208.009,FP1,,,
8,L. Norris  McLaren F1,4,McLaren,Mercedes,26.0,+0.987 1'20.635,0.106,,207.736,FP1,,,
9,C. Sainz  Ferrari,55,Ferrari,Ferrari,27.0,+1.032 1'20.680,0.045,,207.62,FP1,,,
10,E. Ocon  Alpine,31,Alpine,Renault,27.0,+1.152 1'20.800,0.12,,207.311,FP1,,,
11,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,29.0,+1.246 1'20.894,0.094,,207.07,FP1,,,
12,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,31.0,+1.347 1'20.995,0.101,,206.812,FP1,,,
13,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,28.0,+1.442 1'21.090,0.095,,206.57,FP1,,,
14,F. Alonso  Alpine,14,Alpine,Renault,31.0,+1.655 1'21.303,0.213,,206.029,FP1,,,
15,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,25.0,+1.733 1'21.381,0.078,,205.831,FP1,,,
16,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,31.0,+1.757 1'21.405,0.024,,205.771,FP1,,,
17,C. Ilott  Alfa Romeo,98,Alfa Romeo,Ferrari,21.0,+2.158 1'21.806,0.401,,204.762,FP1,,,
18,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,29.0,+2.291 1'21.939,0.133,,204.43,FP1,,,
19,N. Latifi  Williams,6,Williams,Mercedes,29.0,+2.645 1'22.293,0.354,,203.55,FP1,,,
20,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,29.0,+4.576 1'24.224,1.931,,198.883,FP1,,,
1,L. Hamilton  Mercedes,44,Mercedes,Mercedes,33.0,1'19.837,,,209.812,FP2,,,
2,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,26.0,+0.143 1'19.980,0.143,,209.437,FP2,,,
