Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
1,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,22.0,1'23.723,,,231.334,FP1,,,
2,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,28.0,+0.437 1'24.160,0.437,,230.133,FP1,,,
3,V. Bottas  Mercedes,77,Mercedes,Mercedes,24.0,+0.471 1'24.194,0.034,,230.04,FP1,,,
4,L. Hamilton  Mercedes,44,Mercedes,Mercedes,21.0,+0.786 1'24.509,0.315,,229.182,FP1,,,
5,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,27.0,+0.925 1'24.648,0.139,,228.806,FP1,,,
6,C. Sainz  Ferrari,55,Ferrari,Ferrari,26.0,+0.990 1'24.713,0.065,,228.63,FP1,,,
7,C. Leclerc  Ferrari,16,Ferrari,Ferrari,27.0,+1.067 1'24.790,0.077,,228.423,FP1,,,
8,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,22.0,+1.192 1'24.915,0.125,,228.086,FP1,,,
9,E. Ocon  Alpine,31,Alpine,Renault,23.0,+1.249 1'24.972,0.057,,227.933,FP1,,,
10,L. Norris  McLaren F1,4,McLaren,Mercedes,19.0,+1.492 1'25.215,0.243,,227.283,FP1,,,
11,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,24.0,+1.568 1'25.291,0.076,,227.081,FP1,,,
12,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,19.0,+1.605 1'25.328,0.037,,226.982,FP1,,,
13,N. Latifi  Williams,6,Williams,Mercedes,24.0,+1.965 1'25.688,0.36,,226.029,FP1,,,
14,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,23.0,+2.034 1'25.757,0.069,,225.847,FP1,,,
15,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,25.0,+2.105 1'25.828,0.071,,225.66,FP1,,,
16,G. Russell  Williams,63,Williams,Mercedes,24.0,+2.148 1'25.871,0.043,,225.547,FP1,,,
17,F. Alonso  Alpine,14,Alpine,Renault,21.0,+2.182 1'25.905,0.034,,225.458,FP1,,,
18,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,21.0,+2.976 1'26.699,0.794,,223.393,FP1,,,
19,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,11.0,+2.989 1'26.712,0.013,,223.36,FP1,,,
20,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,16.0,+3.777 1'27.500,0.788,,221.348,FP1,,,
1,V. Bottas  Mercedes,77,Mercedes,Mercedes,27.0,1'23.148,,,232.934,FP2,,,
2,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,27.0,+0.209 1'23.357,0.209,,232.35,FP2,,,
3,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,20.0,+0.350 1'23.498,0.141,,231.957,FP2,,,
4,L. Hamilton  Mercedes,44,Mercedes,Mercedes,25.0,+0.422 1'23.570,0.072,,231.757,FP2,,,
5,L. Norris  McLaren F1,4,McLaren,Mercedes,24.0,+0.484 1'23.632,0.062,,231.585,FP2,,,
6,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,26.0,+0.557 1'23.705,0.073,,231.384,FP2,,,
7,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,28.0,+0.587 1'23.735,0.03,,231.301,FP2,,,
8,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,20.0,+0.639 1'23.787,0.052,,231.157,FP2,,,
9,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,27.0,+0.872 1'24.020,0.233,,230.516,FP2,,,
10,C. Sainz  Ferrari,55,Ferrari,Ferrari,28.0,+0.885 1'24.033,0.013,,230.48,FP2,,,
