Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
1,V. Bottas  Mercedes,77,Mercedes,Mercedes,25.0,1'34.427,,,222.953,FP1,,,
2,L. Hamilton  Mercedes,44,Mercedes,Mercedes,23.0,+0.211 1'34.638,0.211,,222.456,FP1,,,
3,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,13.0,+0.227 1'34.654,0.016,,222.418,FP1,,,
4,C. Leclerc  Ferrari,16,Ferrari,Ferrari,22.0,+0.690 1'35.117,0.463,,221.335,FP1,,,
5,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,23.0,+1.354 1'35.781,0.664,,219.801,FP1,,,
6,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,24.0,+1.367 1'35.794,0.013,,219.771,FP1,,,
7,C. Sainz  Ferrari,55,Ferrari,Ferrari,25.0,+1.384 1'35.811,0.017,,219.732,FP1,,,
8,L. Norris  McLaren F1,4,McLaren,Mercedes,24.0,+1.532 1'35.959,0.148,,219.393,FP1,,,
9,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,22.0,+1.761 1'36.188,0.229,,218.871,FP1,,,
10,F. Alonso  Alpine,14,Alpine,Renault,21.0,+1.798 1'36.225,0.037,,218.787,FP1,,,
11,E. Ocon  Alpine,31,Alpine,Renault,25.0,+1.809 1'36.236,0.011,,218.762,FP1,,,
12,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,21.0,+2.095 1'36.522,0.286,,218.114,FP1,,,
13,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,23.0,+2.368 1'36.795,0.273,,217.498,FP1,,,
14,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,23.0,+2.450 1'36.877,0.082,,217.314,FP1,,,
15,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,20.0,+2.525 1'36.952,0.075,,217.146,FP1,,,
16,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,26.0,+3.367 1'37.794,0.842,,215.277,FP1,,,
17,G. Russell  Williams,63,Williams,Mercedes,23.0,+3.586 1'38.013,0.219,,214.795,FP1,,,
18,N. Latifi  Williams,6,Williams,Mercedes,21.0,+3.728 1'38.155,0.142,,214.485,FP1,,,
19,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,22.0,+4.159 1'38.586,0.431,,213.547,FP1,,,
20,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,23.0,+4.550 1'38.977,0.391,,212.703,FP1,,,
1,V. Bottas  Mercedes,77,Mercedes,Mercedes,19.0,1'33.593,,,224.939,FP2,,,
2,L. Hamilton  Mercedes,44,Mercedes,Mercedes,22.0,+0.044 1'33.637,0.044,,224.834,FP2,,,
3,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,22.0,+0.252 1'33.845,0.208,,224.335,FP2,,,
4,L. Norris  McLaren F1,4,McLaren,Mercedes,17.0,+0.561 1'34.154,0.309,,223.599,FP2,,,
5,E. Ocon  Alpine,31,Alpine,Renault,23.0,+0.809 1'34.402,0.248,,223.012,FP2,,,
6,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,20.0,+1.028 1'34.621,0.219,,222.496,FP2,,,
7,C. Sainz  Ferrari,55,Ferrari,Ferrari,22.0,+1.085 1'34.678,0.057,,222.362,FP2,,,
8,F. Alonso  Alpine,14,Alpine,Renault,21.0,+1.169 1'34.762,0.084,,222.165,FP2,,,
9,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,22.0,+1.244 1'34.837,0.075,,221.989,FP2,,,
10,C. Leclerc  Ferrari,16,Ferrari,Ferrari,24.0,+1.332 1'34.925,0.088,,221.783,FP2,,,
11,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,22.0,+1.345 1'34.938,0.013,,221.753,FP2,,,
12,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,23.0,+1.459 1'35.052,0.114,,221.487,FP2,,,
13,G. Russell  Williams,63,Williams,Mercedes,19.0,+1.501 1'35.094,0.042,,221.389,FP2,,,
14,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,15.0,+1.585 1'35.178,0.084,,221.193,FP2,,,
15,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,21.0,+1.741 1'35.334,0.156,,220.832,FP2,,,
16,N. Latifi  Williams,6,Williams,Mercedes,19.0,+1.818 1'35.411,0.077,,220.653,FP2,,,
17,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,12.0,+2.037 1'35.630,0.219,,220.148,FP2,,,
18,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,23.0,+2.361 1'35.954,0.324,,219.405,FP2,,,
19,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,19.0,+2.506 1'36.099,0.145,,219.074,FP2,,,
20,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,20.0,+2.637 1'36.230,0.131,,218.775,FP2,,,
1,L. Hamilton  Mercedes,44,Mercedes,Mercedes,10.0,1'45.992,,,198.626,Q1,,,
2,V. Bottas  Mercedes,77,Mercedes,Mercedes,9.0,+0.404 1'46.396,0.404,,197.872,Q1,,,
3,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,9.0,+0.463 1'46.455,0.059,,197.762,Q1,,,
4,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,10.0,+1.213 1'47.205,0.75,,196.378,Q1,,,
5,L. Norris  McLaren F1,4,McLaren,Mercedes,9.0,+1.246 1'47.238,0.033,,196.318,Q1,,,
6,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,9.0,+1.836 1'47.828,0.59,,195.244,Q1,,,
7,F. Alonso  Alpine,14,Alpine,Renault,10.0,+1.885 1'47.877,0.049,,195.155,Q1,,,
8,C. Sainz  Ferrari,55,Ferrari,Ferrari,10.0,+1.932 1'47.924,0.047,,195.07,Q1,,,
9,E. Ocon  Alpine,31,Alpine,Renault,10.0,+2.107 1'48.099,0.175,,194.754,Q1,,,
10,N. Latifi  Williams,6,Williams,Mercedes,10.0,+2.260 1'48.252,0.153,,194.479,Q1,,,
11,G. Russell  Williams,63,Williams,Mercedes,10.0,+2.311 1'48.303,0.051,,194.387,Q1,,,
12,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,9.0,+2.330 1'48.322,0.019,,194.353,Q1,,,
13,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,8.0,+2.353 1'48.345,0.023,,194.312,Q1,,,
14,C. Leclerc  Ferrari,16,Ferrari,Ferrari,10.0,+2.478 1'48.470,0.125,,194.088,Q1,,,
15,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,11.0,+2.862 1'48.854,0.384,,193.404,Q1,,,
