Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
1,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,34.0,1'05.910,,,235.848,FP1,,,
2,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,32.0,+0.256 1'06.166,0.256,,234.936,FP1,,,
3,L. Hamilton  Mercedes,44,Mercedes,Mercedes,32.0,+0.422 1'06.332,0.166,,234.348,FP1,,,
4,V. Bottas  Mercedes,77,Mercedes,Mercedes,34.0,+0.476 1'06.386,0.054,,234.157,FP1,,,
5,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,36.0,+0.487 1'06.397,0.011,,234.119,FP1,,,
6,F. Alonso  Alpine,14,Alpine,Renault,36.0,+0.609 1'06.519,0.122,,233.689,FP1,,,
7,E. Ocon  Alpine,31,Alpine,Renault,35.0,+0.641 1'06.551,0.032,,233.577,FP1,,,
8,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,33.0,+0.674 1'06.584,0.033,,233.461,FP1,,,
9,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,29.0,+0.704 1'06.614,0.03,,233.356,FP1,,,
10,C. Leclerc  Ferrari,16,Ferrari,Ferrari,36.0,+0.719 1'06.629,0.015,,233.303,FP1,,,
11,C. Sainz  Ferrari,55,Ferrari,Ferrari,33.0,+0.720 1'06.630,0.001,,233.3,FP1,,,
12,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,38.0,+0.759 1'06.669,0.039,,233.163,FP1,,,
13,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,33.0,+0.786 1'06.696,0.027,,233.069,FP1,,,
14,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,32.0,+0.798 1'06.708,0.012,,233.027,FP1,,,
15,G. Russell  Williams,63,Williams,Mercedes,32.0,+0.938 1'06.848,0.14,,232.539,FP1,,,
16,L. Norris  McLaren F1,4,McLaren,Mercedes,35.0,+0.951 1'06.861,0.013,,232.494,FP1,,,
17,N. Latifi  Williams,6,Williams,Mercedes,31.0,+1.270 1'07.180,0.319,,231.39,FP1,,,
18,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,30.0,+1.563 1'07.473,0.293,,230.385,FP1,,,
19,R. Kubica  Alfa Romeo,88,Alfa Romeo,Ferrari,30.0,+1.913 1'07.823,0.35,,229.196,FP1,,,
