Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
1,L. Hamilton  Mercedes,44,Mercedes,Mercedes,26.0,1'24.178,,,228.287,FP1,,,
2,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,24.0,+0.425 1'24.603,0.425,,227.14,FP1,,,
3,C. Leclerc  Ferrari,16,Ferrari,Ferrari,27.0,+0.476 1'24.654,0.051,,227.004,FP1,,,
4,V. Bottas  Mercedes,77,Mercedes,Mercedes,28.0,+0.664 1'24.842,0.188,,226.501,FP1,,,
5,C. Sainz  Ferrari,55,Ferrari,Ferrari,25.0,+0.682 1'24.860,0.018,,226.452,FP1,,,
6,E. Ocon  Alpine,31,Alpine,Renault,30.0,+0.731 1'24.909,0.049,,226.322,FP1,,,
7,L. Norris  McLaren F1,4,McLaren,Mercedes,26.0,+1.169 1'25.347,0.438,,225.16,FP1,,,
8,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,30.0,+1.204 1'25.382,0.035,,225.068,FP1,,,
9,F. Alonso  Alpine,14,Alpine,Renault,26.0,+1.205 1'25.383,0.001,,225.065,FP1,,,
10,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,24.0,+1.281 1'25.459,0.076,,224.865,FP1,,,
11,G. Russell  Williams,63,Williams,Mercedes,25.0,+1.507 1'25.685,0.226,,224.272,FP1,,,
12,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,26.0,+1.572 1'25.750,0.065,,224.102,FP1,,,
13,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,26.0,+1.632 1'25.810,0.06,,223.945,FP1,,,
14,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,24.0,+1.635 1'25.813,0.003,,223.938,FP1,,,
15,N. Latifi  Williams,6,Williams,Mercedes,28.0,+1.685 1'25.863,0.05,,223.807,FP1,,,
16,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,24.0,+1.755 1'25.933,0.07,,223.625,FP1,,,
17,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,29.0,+2.183 1'26.361,0.428,,222.517,FP1,,,
18,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,28.0,+2.246 1'26.424,0.063,,222.354,FP1,,,
19,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,25.0,+2.458 1'26.636,0.212,,221.81,FP1,,,
20,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,28.0,+2.841 1'27.019,0.383,,220.834,FP1,,,
1,L. Hamilton  Mercedes,44,Mercedes,Mercedes,30.0,1'23.804,,,229.306,FP2,,,
2,C. Leclerc  Ferrari,16,Ferrari,Ferrari,29.0,+0.166 1'23.970,0.166,,228.853,FP2,,,
3,V. Bottas  Mercedes,77,Mercedes,Mercedes,31.0,+0.410 1'24.214,0.244,,228.19,FP2,,,
4,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,28.0,+0.569 1'24.373,0.159,,227.76,FP2,,,
5,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,27.0,+0.635 1'24.439,0.066,,227.582,FP2,,,
6,L. Norris  McLaren F1,4,McLaren,Mercedes,24.0,+0.721 1'24.525,0.086,,227.35,FP2,,,
7,F. Alonso  Alpine,14,Alpine,Renault,21.0,+0.856 1'24.660,0.135,,226.987,FP2,,,
8,E. Ocon  Alpine,31,Alpine,Renault,26.0,+0.868 1'24.672,0.012,,226.955,FP2,,,
9,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,32.0,+0.952 1'24.756,0.084,,226.73,FP2,,,
