Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
1,V. Bottas  Mercedes,77,Mercedes,Mercedes,17.0,1'34.874,,,209.191,FP1,,,
2,L. Hamilton  Mercedes,44,Mercedes,Mercedes,18.0,+0.045 1'34.919,0.045,,209.091,FP1,,,
3,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,16.0,+0.932 1'35.806,0.887,,207.156,FP1,,,
4,C. Leclerc  Ferrari,16,Ferrari,Ferrari,18.0,+1.460 1'36.334,0.528,,206.02,FP1,,,
5,C. Sainz  Ferrari,55,Ferrari,Ferrari,20.0,+1.634 1'36.508,0.174,,205.649,FP1,,,
6,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,18.0,+1.737 1'36.611,0.103,,205.43,FP1,,,
7,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,20.0,+1.924 1'36.798,0.187,,205.033,FP1,,,
8,L. Norris  McLaren F1,4,McLaren,Mercedes,11.0,+1.981 1'36.855,0.057,,204.912,FP1,,,
9,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,18.0,+2.000 1'36.874,0.019,,204.872,FP1,,,
10,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,18.0,+2.002 1'36.876,0.002,,204.868,FP1,,,
11,G. Russell  Williams,63,Williams,Mercedes,19.0,+2.092 1'36.966,0.09,,204.677,FP1,,,
12,E. Ocon  Alpine,31,Alpine,Renault,22.0,+2.096 1'36.970,0.004,,204.669,FP1,,,
13,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,20.0,+2.098 1'36.972,0.002,,204.665,FP1,,,
14,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,20.0,+2.108 1'36.982,0.01,,204.644,FP1,,,
15,F. Alonso  Alpine,14,Alpine,Renault,12.0,+2.194 1'37.068,0.086,,204.462,FP1,,,
16,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,18.0,+2.584 1'37.458,0.39,,203.644,FP1,,,
17,N. Latifi  Williams,6,Williams,Mercedes,19.0,+2.589 1'37.463,0.005,,203.634,FP1,,,
18,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,22.0,+3.080 1'37.954,0.491,,202.613,FP1,,,
19,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,17.0,+3.992 1'38.866,0.912,,200.744,FP1,,,
20,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,19.0,+7.365 1'42.239,3.373,,194.121,FP1,,,
1,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,24.0,1'34.946,,,209.032,FP2,,,
2,L. Norris  McLaren F1,4,McLaren,Mercedes,20.0,+0.257 1'35.203,0.257,,208.468,FP2,,,
3,L. Hamilton  Mercedes,44,Mercedes,Mercedes,22.0,+0.364 1'35.310,0.107,,208.234,FP2,,,
4,V. Bottas  Mercedes,77,Mercedes,Mercedes,24.0,+0.414 1'35.360,0.05,,208.125,FP2,,,
5,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,21.0,+0.511 1'35.457,0.097,,207.913,FP2,,,
6,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,25.0,+0.615 1'35.561,0.104,,207.687,FP2,,,
7,C. Leclerc  Ferrari,16,Ferrari,Ferrari,23.0,+0.626 1'35.572,0.011,,207.663,FP2,,,
8,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,23.0,+0.878 1'35.824,0.252,,207.117,FP2,,,
9,C. Sainz  Ferrari,55,Ferrari,Ferrari,24.0,+0.973 1'35.919,0.095,,206.912,FP2,,,
10,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,26.0,+1.192 1'36.138,0.219,,206.44,FP2,,,
11,E. Ocon  Alpine,31,Alpine,Renault,23.0,+1.212 1'36.158,0.02,,206.397,FP2,,,
12,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,25.0,+1.296 1'36.242,0.084,,206.217,FP2,,,
13,F. Alonso  Alpine,14,Alpine,Renault,18.0,+1.430 1'36.376,0.134,,205.93,FP2,,,
14,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,25.0,+1.612 1'36.558,0.182,,205.542,FP2,,,
15,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,30.0,+1.772 1'36.718,0.16,,205.202,FP2,,,
16,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,24.0,+2.037 1'36.983,0.265,,204.642,FP2,,,
17,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,24.0,+2.095 1'37.041,0.058,,204.519,FP2,,,
18,N. Latifi  Williams,6,Williams,Mercedes,26.0,+2.308 1'37.254,0.213,,204.071,FP2,,,
19,G. Russell  Williams,63,Williams,Mercedes,21.0,+2.544 1'37.490,0.236,,203.577,FP2,,,
20,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,23.0,+3.080 1'38.026,0.536,,202.464,FP2,,,
1,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,13.0,1'34.701,,,209.573,FP3,,,
2,C. Sainz  Ferrari,55,Ferrari,Ferrari,16.0,+0.104 1'34.805,0.104,,209.343,FP3,,,
3,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,13.0,+0.211 1'34.912,0.107,,209.107,FP3,,,
4,L. Norris  McLaren F1,4,McLaren,Mercedes,13.0,+0.244 1'34.945,0.033,,209.034,FP3,,,
5,V. Bottas  Mercedes,77,Mercedes,Mercedes,15.0,+0.287 1'34.988,0.043,,208.94,FP3,,,
6,L. Hamilton  Mercedes,44,Mercedes,Mercedes,16.0,+0.518 1'35.219,0.231,,208.433,FP3,,,
7,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,11.0,+0.644 1'35.345,0.126,,208.157,FP3,,,
8,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,17.0,+0.697 1'35.398,0.053,,208.042,FP3,,,
9,C. Leclerc  Ferrari,16,Ferrari,Ferrari,17.0,+0.987 1'35.688,0.29,,207.411,FP3,,,
10,E. Ocon  Alpine,31,Alpine,Renault,10.0,+1.010 1'35.711,0.023,,207.361,FP3,,,
11,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,18.0,+1.150 1'35.851,0.14,,207.058,FP3,,,
12,G. Russell  Williams,63,Williams,Mercedes,9.0,+1.322 1'36.023,0.172,,206.687,FP3,,,
13,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,20.0,+1.361 1'36.062,0.039,,206.604,FP3,,,
14,N. Latifi  Williams,6,Williams,Mercedes,8.0,+1.417 1'36.118,0.056,,206.483,FP3,,,
15,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,16.0,+1.551 1'36.252,0.134,,206.196,FP3,,,
16,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,13.0,+1.691 1'36.392,0.14,,205.896,FP3,,,
17,F. Alonso  Alpine,14,Alpine,Renault,12.0,+1.789 1'36.490,0.098,,205.687,FP3,,,
18,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,16.0,+1.871 1'36.572,0.082,,205.512,FP3,,,
19,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,15.0,+1.970 1'36.671,0.099,,205.302,FP3,,,
20,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,15.0,+28.755 2'03.456,26.785,,160.76,FP3,,,
1,C. Leclerc  Ferrari,16,Ferrari,Ferrari,8.0,1'34.153,,,210.793,Q1,,,
2,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,6.0,+0.199 1'34.352,0.199,,210.348,Q1,,,
3,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,6.0,+0.216 1'34.369,0.017,,210.31,Q1,,,
4,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,3.0,+0.254 1'34.407,0.038,,210.225,Q1,,,
5,L. Norris  McLaren F1,4,McLaren,Mercedes,3.0,+0.398 1'34.551,0.144,,209.905,Q1,,,
6,C. Sainz  Ferrari,55,Ferrari,Ferrari,3.0,+0.405 1'34.558,0.007,,209.89,Q1,,,
7,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,6.0,+0.414 1'34.567,0.009,,209.87,Q1,,,
8,L. Hamilton  Mercedes,44,Mercedes,Mercedes,6.0,+0.426 1'34.579,0.012,,209.843,Q1,,,
9,V. Bottas  Mercedes,77,Mercedes,Mercedes,6.0,+0.437 1'34.590,0.011,,209.819,Q1,,,
10,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,6.0,+1.128 1'35.281,0.691,,208.297,Q1,,,
11,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,6.0,+1.207 1'35.360,0.079,,208.125,Q1,,,
12,G. Russell  Williams,63,Williams,Mercedes,6.0,+1.593 1'35.746,0.386,,207.285,Q1,,,
13,E. Ocon  Alpine,31,Alpine,Renault,6.0,+1.594 1'35.747,0.001,,207.283,Q1,,,
14,F. Alonso  Alpine,14,Alpine,Renault,6.0,+1.603 1'35.756,0.009,,207.264,Q1,,,
15,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,5.0,+1.767 1'35.920,0.164,,206.909,Q1,,,
16,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,7.0,+1.830 1'35.983,0.063,,206.774,Q1,,,
17,N. Latifi  Williams,6,Williams,Mercedes,6.0,+1.842 1'35.995,0.012,,206.748,Q1,,,
18,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,7.0,+2.158 1'36.311,0.316,,206.069,Q1,,,
19,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,9.0,+2.346 1'36.499,0.188,,205.668,Q1,,,
20,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,8.0,+2.643 1'36.796,0.297,,205.037,Q1,,,
1,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,3.0,1'33.464,,,212.346,Q2,,,
2,L. Hamilton  Mercedes,44,Mercedes,Mercedes,3.0,+0.333 1'33.797,0.333,,211.593,Q2,,,
3,L. Norris  McLaren F1,4,McLaren,Mercedes,5.0,+0.416 1'33.880,0.083,,211.406,Q2,,,
4,C. Leclerc  Ferrari,16,Ferrari,Ferrari,3.0,+0.464 1'33.928,0.048,,211.298,Q2,,,
5,V. Bottas  Mercedes,77,Mercedes,Mercedes,3.0,+0.495 1'33.959,0.031,,211.228,Q2,,,
6,C. Sainz  Ferrari,55,Ferrari,Ferrari,6.0,+0.662 1'34.126,0.167,,210.853,Q2,,,
7,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,6.0,+0.714 1'34.178,0.052,,210.737,Q2,,,
8,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,5.0,+1.119 1'34.583,0.405,,209.834,Q2,,,
9,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,6.0,+1.179 1'34.643,0.06,,209.701,Q2,,,
10,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,6.0,+1.673 1'35.137,0.494,,208.612,Q2,,,
11,E. Ocon  Alpine,31,Alpine,Renault,6.0,+1.913 1'35.377,0.24,,208.087,Q2,,,
12,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,3.0,+2.036 1'35.500,0.123,,207.819,Q2,,,
13,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,3.0,+2.330 1'35.794,0.294,,207.182,Q2,,,
14,F. Alonso  Alpine,14,Alpine,Renault,6.0,+11.085 1'44.549,8.755,,189.832,Q2,,,
15,G. Russell  Williams,63,Williams,Mercedes,5.0,,,,,Q2,,,
1,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,7.0,1'32.910,,,213.613,Q3,,,
2,L. Hamilton  Mercedes,44,Mercedes,Mercedes,7.0,+0.209 1'33.119,0.209,,213.133,Q3,,,
3,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,7.0,+0.224 1'33.134,0.015,,213.099,Q3,,,
4,V. Bottas  Mercedes,77,Mercedes,Mercedes,6.0,+0.565 1'33.475,0.341,,212.322,Q3,,,
5,C. Leclerc  Ferrari,16,Ferrari,Ferrari,6.0,+0.696 1'33.606,0.131,,212.024,Q3,,,
6,C. Sainz  Ferrari,55,Ferrari,Ferrari,6.0,+0.882 1'33.792,0.186,,211.604,Q3,,,
7,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,6.0,+0.898 1'33.808,0.016,,211.568,Q3,,,
8,L. Norris  McLaren F1,4,McLaren,Mercedes,6.0,+0.977 1'33.887,0.079,,211.39,Q3,,,
9,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,6.0,+1.208 1'34.118,0.231,,210.871,Q3,,,
10,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,6.0,+2.008 1'34.918,0.8,,209.094,Q3,,,
1,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,,1'32.910,,,213.613,Quali,,,
2,L. Hamilton  Mercedes,44,Mercedes,Mercedes,,+0.209 1'33.119,,,213.133,Quali,,,
3,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,,+0.224 1'33.134,,,213.099,Quali,,,
4,C. Leclerc  Ferrari,16,Ferrari,Ferrari,,+0.696 1'33.606,,,212.024,Quali,,,
5,C. Sainz  Ferrari,55,Ferrari,Ferrari,,+0.882 1'33.792,,,211.604,Quali,,,
